date,PP
2018/7/26,64.5
2018/7/27,63.5
2018/7/30,70
2018/7/31,68.5
2018/8/1,71.5
2018/8/2,67.5
2018/8/3,65.5
2018/8/6,73
2018/8/7,70.5
2018/8/8,68
2018/8/9,68.5
2018/8/10,68
2018/8/13,74.5
2018/8/14,75
2018/8/15,72.4
2018/8/16,73
2018/8/17,73
2018/8/20,81.5
2018/8/21,79
2018/8/22,77.5
2018/8/23,74
2018/8/24,73.5
2018/8/27,83.5
2018/8/28,79
2018/8/29,75.5
2018/8/30,73
2018/8/31,73.5
2018/9/3,84.5
2018/9/4,82
2018/9/5,77.5
2018/9/6,76
2018/9/7,74.5
2018/9/10,81
2018/9/11,77
2018/9/12,74
2018/9/13,73.5
2018/9/14,70.5
2018/9/17,75.5
2018/9/18,71
2018/9/19,67.5
2018/9/20,65
2018/9/21,62
2018/9/25,72.5
2018/9/26,68.5
2018/9/27,66
2018/9/28,63
2018/10/8,84.5
2018/10/9,80.5
2018/10/10,76
2018/10/11,73
2018/10/12,72
2018/10/15,79
2018/10/16,76
2018/10/17,76
2018/10/18,76.5
2018/10/19,77.5
2018/10/22,84.5
2018/10/23,80.5
2018/10/24,77.5
2018/10/25,76
2018/10/26,74.5
2018/10/29,81
2018/10/30,77
2018/10/31,74.5
2018/11/1,76.5
2018/11/2,75.5
2018/11/5,83.5
2018/11/6,79.5
2018/11/7,78.5
2018/11/8,77.5
2018/11/9,77.5
2018/11/12,85.5
2018/11/13,84
2018/11/14,84
2018/11/15,84
2018/11/16,81.5
2018/11/19,85.5
2018/11/20,82.5
2018/11/21,79.5
2018/11/22,79.5
2018/11/23,79
2018/11/26,87
2018/11/27,82
2018/11/28,78
2018/11/29,70
2018/11/30,67
2018/12/3,71
2018/12/4,67
2018/12/5,61
2018/12/6,59
2018/12/7,57.5
2018/12/10,66
2018/12/11,63.5
2018/12/12,63.5
2018/12/13,63.5
2018/12/14,63
2018/12/17,68
2018/12/18,64
2018/12/19,61.5
2018/12/20,60
2018/12/21,60
2018/12/24,66
2018/12/25,63.5
2018/12/26,61
2018/12/27,57
2018/12/28,53.5
2019/1/2,68
2019/1/3,67
2019/1/4,64
2019/1/7,66.5
2019/1/8,62
2019/1/9,58
2019/1/10,56
2019/1/11,55.5
2019/1/14,60
2019/1/15,57.5
2019/1/16,56
2019/1/17,53
2019/1/18,51
2019/1/21,58.5
2019/1/22,56
2019/1/23,53
2019/1/24,52
2019/1/25,52
2019/1/28,60.5
2019/1/29,58
2019/1/30,60.5
2019/1/31,62
2019/2/1,67
2019/2/11,104.5
2019/2/12,105.5
2019/2/13,108.5
2019/2/14,108.5
2019/2/15,107
2019/2/18,111
2019/2/19,108
2019/2/20,103.5
2019/2/21,99
2019/2/22,94.5
2019/2/25,99
2019/2/26,96.5
2019/2/27,94
2019/2/28,93
2019/3/1,95.5
2019/3/4,100.5
2019/3/5,95.5
2019/3/6,93.5
2019/3/7,92
2019/3/8,91.5
2019/3/11,100.5
2019/3/12,98
2019/3/13,94
2019/3/14,94.5
2019/3/15,93.5
2019/3/18,99.5
2019/3/19,98.5
2019/3/20,97
2019/3/21,95
2019/3/22,91.5
2019/3/25,95.5
2019/3/26,91.5
2019/3/27,86.5
2019/3/28,82
2019/3/29,81
2019/4/1,93
2019/4/2,90
2019/4/3,85
2019/4/4,84.5
2019/4/8,97.5
2019/4/9,93
2019/4/10,90
2019/4/11,88.5
2019/4/12,87.5
2019/4/15,96
2019/4/16,93
2019/4/17,91
2019/4/18,90.5
2019/4/19,90
2019/4/22,96.5
2019/4/23,93.5
2019/4/24,91.5
2019/4/25,88
2019/4/26,86
2019/4/28,87.5
2019/4/29,87.5
2019/4/30,87.5
2019/5/6,100
2019/5/7,98
2019/5/8,95.5
2019/5/9,96
2019/5/10,95
2019/5/13,98.2
2019/5/14,96.8
2019/5/15,97
2019/5/16,92
2019/5/17,87.5
2019/5/20,89
2019/5/21,80.5
2019/5/22,77
2019/5/23,75
2019/5/24,75
2019/5/27,83.5
2019/5/28,79.5
2019/5/29,76.5
2019/5/30,74
2019/5/31,74
2019/6/3,84
2019/6/4,84.5
2019/6/5,84
2019/6/6,82
2019/6/10,91
2019/6/11,85.5
2019/6/12,83
2019/6/13,83
2019/6/14,83
2019/6/17,89
2019/6/18,86
2019/6/19,85
2019/6/20,78.5
2019/6/21,74.5
2019/6/24,79
2019/6/25,69.5
2019/6/26,65.5
2019/6/27,64.5
2019/6/28,64
2019/7/1,75
2019/7/2,71
2019/7/3,67.5
2019/7/4,66
2019/7/5,65.5
2019/7/8,74
2019/7/9,73
2019/7/10,72.5
2019/7/11,73
2019/7/12,72.5
2019/7/15,82
2019/7/16,78
2019/7/17,78
2019/7/18,77.5
2019/7/19,77.5
2019/7/22,83.5
2019/7/23,81
2019/7/24,81
2019/7/25,77
2019/7/26,73.5
2019/7/29,79
2019/7/30,74.5
2019/7/31,73
2019/8/1,76
2019/8/2,73.5
2019/8/5,81
2019/8/6,80.5
2019/8/7,79.5
2019/8/8,78.5
2019/8/9,77.5
2019/8/12,81
2019/8/13,78
2019/8/14,77.2
2019/8/15,75
2019/8/16,74.5
2019/8/19,80.5
2019/8/20,78
2019/8/21,74.5
2019/8/22,73.5
2019/8/23,73
2019/8/26,79
2019/8/27,75.5
2019/8/28,72.5
2019/8/29,69.5
2019/8/30,66.5
2019/9/2,79.5
2019/9/3,73
2019/9/4,69
2019/9/5,65
2019/9/6,62
2019/9/9,68.5
2019/9/10,65
2019/9/11,61
2019/9/12,58.5
2019/9/16,69
2019/9/17,64
2019/9/18,58
2019/9/19,57.5
2019/9/20,56
2019/9/23,62.5
2019/9/24,60.5
2019/9/25,59.5
2019/9/26,57
2019/9/27,55.5
2019/9/30,61.5
2019/10/8,88.5
2019/10/9,84.5
2019/10/10,81.5
2019/10/11,78.5
2019/10/12,76
2019/10/14,75
2019/10/15,71
2019/10/16,69.5
2019/10/17,70
2019/10/18,70
2019/10/21,79
2019/10/22,76
