,每日PnL,净值,资金占用比例,杠杆倍数
2017-08-15,1505.0,1.3729950000000002,0.04744671320725858,0.93063
2017-08-16,-3670.0,1.3693250000000001,0.050954959560367344,0.99677
2017-08-17,2680.0,1.3720050000000001,0.05143297582734757,1.00809
2017-08-18,10760.0,1.382765,0.05098111392752927,1.00707
2017-08-21,-1380.0,1.381385,0.05172678145484424,1.02078
2017-08-22,-9790.000000000027,1.3715950000000001,0.05495959084131978,1.07689
2017-08-23,-10530.0,1.3610650000000002,0.05085918012732677,0.988895
2017-08-24,6125.00000000002,1.3671900000000001,0.05176976133529356,1.01113
2017-08-25,-3350.0,1.3638400000000002,0.055035744662130466,1.072285
2017-08-28,2055.0,1.365895,0.05545645895182281,1.08211
2017-08-29,3340.0,1.3692350000000002,0.05426804018302191,1.06151
2017-08-30,-1780.0,1.367455,0.055309242351667884,1.08047
2017-08-31,3145.0,1.3706,0.05130566905005107,1.004565
2017-09-01,6185.0,1.3767850000000001,0.05222703617485665,1.02722
2017-09-04,-6585.0,1.3702,0.05497595241570575,1.076115
2017-09-05,5375.0,1.375575,0.055559311560620106,1.0918
2017-09-06,-11715.0,1.36386,0.05093664305720529,0.992435
2017-09-07,6165.0,1.370025,0.0501195963577307,0.98093
2017-09-08,-7225.0,1.3628,0.05440640592896977,1.059215
2017-09-11,-475.0,1.3623250000000002,0.05666489273851688,1.1028
2017-09-12,-4940.0,1.357385,0.0560552827679693,1.08698
2017-09-13,5114.999999999986,1.3625,0.05420517431192662,1.055065
2017-09-14,-660.0,1.3618400000000002,0.053015295482582395,1.031405
2017-09-15,-1545.0,1.3602950000000003,0.04882624724783963,0.94883
2017-09-18,-4610.0,1.3556850000000003,0.04954528522481255,0.95954
2017-09-19,1510.0,1.3571950000000002,0.0522397297366996,1.01285
2017-09-20,790.0,1.3579850000000002,0.05191294454651562,1.0071
2017-09-21,-17520.0,1.340465,0.05128802318598397,0.98214
2017-09-22,-13230.0,1.3272350000000002,0.0508863162891274,0.96483
2017-09-25,-8650.0,1.3185850000000001,0.05181524133825275,0.97604
2017-09-26,-8030.0,1.3105550000000001,0.052094799531496205,0.97533
2017-09-27,1334.9999999999727,1.31189,0.054969280961056195,1.030195
2017-09-28,-2794.9999999999864,1.3090950000000001,0.05350574251677686,1.00063
2017-09-29,4080.0000000000136,1.3131750000000002,0.05402821406133988,1.01355
2017-10-09,-17155.0,1.2960200000000002,0.05335392200737643,0.987825
2017-10-10,-6150.0,1.28987,0.05262115562033383,0.969635
2017-10-11,2269.9999999999927,1.29214,0.05198318293683348,0.959565
2017-10-12,7384.99999999998,1.299525,0.052421153883149614,0.97318
2017-10-13,8650.0,1.308175,0.0534459839088807,0.99881
2017-10-16,-3084.9999999999727,1.30509,0.053924441992506275,1.005375
2017-10-17,-12200.00000000002,1.29289,0.053838802991747176,0.994395
2017-10-18,-6535.000000000007,1.2863550000000001,0.05398144369167143,0.99199
2017-10-19,-10519.999999999993,1.275835,0.052854091634106294,0.96333
2017-10-20,9059.999999999993,1.2848950000000001,0.05407220045217703,0.99253
2017-10-23,-10179.999999999985,1.274715,0.054172344406396726,0.98649
2017-10-24,-6675.000000000014,1.26804,0.053506632282893284,0.969265
