dt,sm cfr
2016/1/21,880.0
2016/1/22,880.0
2016/1/25,910.0
2016/1/26,915.0
2016/1/27,920.0
2016/1/28,947.5
2016/1/29,952.5
2016/2/1,960.0
2016/2/2,962.5
2016/2/3,950.0
2016/2/4,960.0
2016/2/5,960.0
2016/2/8,960.0
2016/2/9,960.0
2016/2/10,960.0
2016/2/11,960.0
2016/2/12,960.0
2016/2/15,972.5
2016/2/16,977.5
2016/2/17,977.5
2016/2/18,1010.0
2016/2/19,1010.0
2016/2/22,1042.5
2016/2/23,1040.0
2016/2/24,1030.0
2016/2/25,1030.0
2016/2/26,1040.0
2016/2/29,1065.0
2016/3/1,1065.0
2016/3/2,1095.0
2016/3/3,1115.0
2016/3/4,1145.0
2016/3/7,1170.0
2016/3/8,1157.5
2016/3/9,1140.0
2016/3/10,1125.0
2016/3/11,1125.0
2016/3/14,1115.0
2016/3/15,1110.0
2016/3/16,1130.0
2016/3/17,1150.0
2016/3/18,1150.0
2016/3/21,1150.0
2016/3/22,1140.0
2016/3/23,1120.0
2016/3/24,1120.0
2016/3/25,1130.0
2016/3/28,1140.0
2016/3/29,1120.0
2016/3/30,1125.0
2016/3/31,1120.0
2016/4/1,1127.5
2016/4/4,1127.5
2016/4/5,1122.5
2016/4/6,1107.5
2016/4/7,1090.0
2016/4/8,1100.0
2016/4/11,1110.0
2016/4/12,1092.5
2016/4/13,1080.0
2016/4/14,1080.0
2016/4/15,1065.0
2016/4/18,1060.0
2016/4/19,1060.0
2016/4/20,1075.0
2016/4/21,1090.0
2016/4/22,1082.5
2016/4/25,1060.0
2016/4/26,1065.0
2016/4/27,1065.0
2016/4/28,1065.0
2016/4/29,1070.0
2016/5/2,1070.0
2016/5/3,1085.0
2016/5/4,1085.0
2016/5/5,1075.0
2016/5/6,1070.0
2016/5/9,1042.5
2016/5/10,1027.5
2016/5/11,1027.5
2016/5/12,1025.0
2016/5/13,1020.0
2016/5/16,1020.0
2016/5/17,1045.0
2016/5/18,1027.5
2016/5/19,1030.0
2016/5/20,1027.5
2016/5/23,1007.5
2016/5/24,1004.0
2016/5/25,1007.5
2016/5/26,992.5
2016/5/27,977.5
2016/5/30,987.5
2016/5/31,1002.5
2016/6/1,997.5
2016/6/2,995.0
2016/6/3,987.5
2016/6/6,990.0
2016/6/7,992.5
2016/6/8,1000.0
2016/6/9,1000.0
2016/6/10,1000.0
2016/6/13,1002.5
2016/6/14,1000.0
2016/6/15,992.5
2016/6/16,990.0
2016/6/17,993.5
2016/6/20,1005.0
2016/6/21,1010.0
2016/6/22,1015.0
2016/6/23,1020.0
2016/6/24,1017.5
2016/6/27,1032.5
2016/6/28,1045.0
2016/6/29,1047.5
2016/6/30,1055.0
2016/7/1,1065.0
2016/7/4,1077.5
2016/7/5,1075.0
2016/7/6,1065.0
2016/7/7,1077.5
2016/7/8,1062.5
2016/7/11,1055.0
2016/7/12,1055.0
2016/7/13,1062.5
2016/7/14,1062.5
2016/7/15,1055.0
2016/7/18,1045.0
2016/7/19,1020.0
2016/7/20,1020.0
2016/7/21,1030.0
2016/7/22,1035.0
2016/7/25,1035.0
2016/7/26,1030.0
2016/7/27,1040.0
2016/7/28,1040.0
2016/7/29,1030.0
2016/8/1,1020.0
2016/8/2,1015.0
2016/8/3,1015.0
2016/8/4,1020.0
2016/8/5,1025.0
2016/8/8,1012.5
2016/8/9,1012.5
2016/8/10,1015.0
2016/8/11,1020.0
2016/8/12,1030.0
2016/8/15,1021.5
2016/8/16,1027.5
2016/8/17,1035.0
2016/8/18,1035.0
2016/8/19,1045.0
2016/8/22,1030.0
2016/8/23,1025.0
2016/8/24,1035.0
2016/8/25,1035.0
2016/8/26,1040.0
2016/8/29,1040.0
2016/8/30,1045.0
2016/8/31,1045.0
2016/9/1,1045.0
