dt,YDF rmb
2016/11/21,500.0
2016/11/22,515.0
2016/11/23,525.0
2016/11/24,535.0
2016/11/25,540.0
2016/11/28,555.0
2016/11/29,555.0
2016/11/30,545.0
2016/12/1,550.0
2016/12/2,550.0
2016/12/5,550.0
2016/12/6,545.0
2016/12/7,550.0
2016/12/8,550.0
2016/12/9,540.0
2016/12/12,555.0
2016/12/13,555.0
2016/12/14,540.0
2016/12/15,540.0
2016/12/16,540.0
2016/12/19,540.0
2016/12/20,540.0
2016/12/21,540.0
2016/12/22,535.0
2016/12/23,530.0
2016/12/26,525.0
2016/12/27,525.0
2016/12/28,530.0
2016/12/29,530.0
2016/12/30,525.0
2017/1/3,525.0
2017/1/4,525.0
2017/1/5,525.0
2017/1/6,525.0
2017/1/9,525.0
2017/1/10,535.0
2017/1/11,535.0
2017/1/12,540.0
2017/1/13,540.0
2017/1/16,560.0
2017/1/17,560.0
2017/1/18,555.0
2017/1/19,550.0
2017/1/20,540.0
2017/1/23,530.0
2017/1/24,540.0
2017/1/25,540.0
2017/1/26,540.0
2017/2/3,540.0
2017/2/6,530.0
2017/2/7,535.0
2017/2/8,540.0
2017/2/9,545.0
2017/2/10,555.0
2017/2/13,585.0
2017/2/14,585.0
2017/2/15,585.0
2017/2/16,585.0
2017/2/17,585.0
2017/2/20,590.0
2017/2/21,605.0
2017/2/22,605.0
2017/2/23,600.0
2017/2/24,590.0
2017/2/27,600.0
2017/2/28,590.0
2017/3/1,590.0
2017/3/2,595.0
2017/3/3,590.0
2017/3/6,580.0
2017/3/7,575.0
2017/3/8,575.0
2017/3/9,570.0
2017/3/10,570.0
2017/3/13,575.0
2017/3/14,575.0
2017/3/15,585.0
2017/3/16,585.0
2017/3/17,585.0
2017/3/20,585.0
2017/3/21,570.0
2017/3/22,555.0
2017/3/23,555.0
2017/3/24,550.0
2017/3/27,530.0
2017/3/28,520.0
2017/3/29,520.0
2017/3/30,520.0
2017/3/31,520.0
2017/4/5,515.0
2017/4/6,510.0
2017/4/7,500.0
2017/4/10,480.0
2017/4/11,470.0
2017/4/12,445.0
2017/4/13,440.0
2017/4/14,430.0
2017/4/17,410.0
2017/4/18,385.0
2017/4/19,385.0
2017/4/20,390.0
2017/4/21,410.0
2017/4/24,410.0
2017/4/25,415.0
2017/4/26,420.0
2017/4/27,425.0
2017/4/28,435.0
2017/5/2,445.0
2017/5/3,435.0
2017/5/4,415.0
2017/5/5,400.0
2017/5/8,405.0
2017/5/9,400.0
2017/5/10,405.0
2017/5/11,395.0
2017/5/12,385.0
2017/5/15,385.0
2017/5/16,385.0
2017/5/17,395.0
2017/5/18,390.0
2017/5/19,400.0
2017/5/22,420.0
2017/5/23,415.0
2017/5/24,410.0
2017/5/25,410.0
2017/5/26,410.0
2017/5/31,400.0
2017/6/1,395.0
2017/6/2,395.0
2017/6/5,395.0
2017/6/6,390.0
2017/6/7,385.0
2017/6/8,385.0
2017/6/9,385.0
2017/6/12,380.0
2017/6/13,377.0
2017/6/14,377.0
2017/6/15,377.0
2017/6/16,377.0
2017/6/19,385.0
2017/6/20,385.0
2017/6/21,380.0
2017/6/22,380.0
2017/6/23,380.0
2017/6/26,380.0
2017/6/27,390.0
2017/6/28,397.0
2017/6/29,410.0
2017/6/30,405.0
2017/7/3,412.0
2017/7/4,405.0
2017/7/5,405.0
2017/7/6,405.0
2017/7/7,410.0
2017/7/10,410.0
2017/7/11,415.0
2017/7/12,415.0
2017/7/13,415.0
2017/7/14,415.0
2017/7/17,430.0
2017/7/18,430.0
2017/7/19,453.0
2017/7/20,453.0
2017/7/21,450.0
2017/7/24,447.0
2017/7/25,447.0
2017/7/26,450.0
2017/7/27,450.0
2017/7/28,450.0
2017/7/31,470.0
2017/8/1,470.0
2017/8/2,470.0
2017/8/3,470.0
2017/8/4,475.0
2017/8/7,485.0
2017/8/8,485.0
2017/8/9,490.0
2017/8/10,493.0
2017/8/11,485.0
2017/8/14,482.0
2017/8/15,478.0
2017/8/16,485.0
2017/8/17,510.0
2017/8/18,515.0
2017/8/21,525.0
2017/8/22,530.0
2017/8/23,525.0
2017/8/24,525.0
2017/8/25,525.0
2017/8/28,520.0
2017/8/29,510.0
2017/8/30,505.0
2017/8/31,510.0
2017/9/1,515.0
2017/9/4,510.0
2017/9/5,510.0
2017/9/6,505.0
2017/9/7,505.0
2017/9/8,500.0
2017/9/11,505.0
2017/9/12,505.0
2017/9/13,500.0
2017/9/14,495.0
2017/9/15,490.0
2017/9/18,490.0
2017/9/19,485.0
2017/9/20,485.0
2017/9/21,470.0
2017/9/22,455.0
2017/9/25,450.0
2017/9/26,445.0
2017/9/27,445.0
2017/9/28,445.0
2017/9/29,445.0
2017/10/9,445.0
2017/10/10,438.0
2017/10/11,433.0
2017/10/12,430.0
2017/10/13,435.0
2017/10/16,435.0
2017/10/17,430.0
2017/10/18,430.0
2017/10/19,422.0
2017/10/20,427.0
2017/10/23,427.0
2017/10/24,427.0
2017/10/25,427.0
2017/10/26,427.0
2017/10/27,422.0
2017/10/30,412.0
2017/10/31,412.0
2017/11/1,407.0
2017/11/2,409.0
2017/11/3,409.0
2017/11/6,412.0
2017/11/7,412.0
2017/11/8,412.0
2017/11/9,412.0
2017/11/10,410.0
2017/11/13,412.0
2017/11/14,412.0
2017/11/15,405.0
2017/11/16,405.0
2017/11/17,405.0
2017/11/20,405.0
2017/11/21,405.0
2017/11/22,410.0
2017/11/23,417.0
2017/11/24,422.0
2017/11/27,422.0
2017/11/28,427.0
2017/11/29,430.0
2017/11/30,433.0
2017/12/1,433.0
2017/12/4,433.0
2017/12/5,445.0
2017/12/6,435.0
2017/12/7,430.0
2017/12/8,430.0
2017/12/11,440.0
2017/12/12,440.0
2017/12/13,440.0
2017/12/14,440.0
2017/12/15,440.0
2017/12/18,445.0
2017/12/19,448.0
2017/12/20,448.0
2017/12/21,448.0
2017/12/22,450.0
2017/12/25,445.0
2017/12/26,442.0
2017/12/27,442.0
2017/12/28,442.0
2017/12/29,447.0
2018/1/2,455.0
2018/1/3,455.0
2018/1/4,455.0
2018/1/5,455.0
2018/1/8,458.0
2018/1/9,458.0
2018/1/10,458.0
2018/1/11,458.0
2018/1/12,458.0
2018/1/15,453.0
2018/1/16,453.0
2018/1/17,453.0
2018/1/18,458.0
2018/1/19,458.0
2018/1/22,463.0
2018/1/23,458.0
2018/1/24,456.0
2018/1/25,459.0
2018/1/26,456.0
2018/1/29,456.0
2018/1/30,456.0
2018/1/31,454.0
2018/2/1,456.0
2018/2/2,459.0
2018/2/5,461.0
2018/2/6,461.0
2018/2/7,461.0
2018/2/8,461.0
2018/2/9,461.0
2018/2/12,461.0
2018/2/13,461.0
2018/2/14,461.0
2018/2/22,461.0
2018/2/23,470.0
2018/2/26,475.0
2018/2/27,472.0
2018/2/28,472.0
2018/3/1,472.0
2018/3/2,472.0
2018/3/5,462.0
2018/3/6,457.0
2018/3/7,457.0
2018/3/8,447.0
2018/3/9,437.0
2018/3/12,432.0
2018/3/13,432.0
2018/3/14,437.0
2018/3/15,435.0
2018/3/16,435.0
2018/3/19,420.0
2018/3/20,415.0
2018/3/21,415.0
2018/3/22,415.0
