dt,NHGF rmb
2015/8/17,430.0
2015/8/18,430.0
2015/8/19,430.0
2015/8/20,430.0
2015/8/21,430.0
2015/8/24,430.0
2015/8/25,420.0
2015/8/26,415.0
2015/8/27,420.0
2015/8/28,425.0
2015/8/31,425.0
2015/9/1,435.0
2015/9/2,435.0
2015/9/7,435.0
2015/9/8,440.0
2015/9/9,445.0
2015/9/10,455.0
2015/9/11,460.0
2015/9/14,460.0
2015/9/15,460.0
2015/9/16,455.0
2015/9/17,455.0
2015/9/18,455.0
2015/9/21,455.0
2015/9/22,450.0
2015/9/23,450.0
2015/9/24,445.0
2015/9/25,440.0
2015/9/28,440.0
2015/9/29,440.0
2015/9/30,440.0
2015/10/8,440.0
2015/10/9,435.0
2015/10/12,435.0
2015/10/13,435.0
2015/10/14,435.0
2015/10/15,430.0
2015/10/16,430.0
2015/10/19,425.0
2015/10/20,425.0
2015/10/21,425.0
2015/10/22,420.0
2015/10/23,410.0
2015/10/26,410.0
2015/10/27,405.0
2015/10/28,395.0
2015/10/29,395.0
2015/10/30,390.0
2015/11/2,390.0
2015/11/3,390.0
2015/11/4,375.0
2015/11/5,370.0
2015/11/6,370.0
2015/11/9,365.0
2015/11/10,365.0
2015/11/11,365.0
2015/11/12,365.0
2015/11/13,365.0
2015/11/16,365.0
2015/11/17,365.0
2015/11/18,360.0
2015/11/19,355.0
2015/11/20,350.0
2015/11/23,350.0
2015/11/24,350.0
2015/11/25,345.0
2015/11/26,340.0
2015/11/27,340.0
2015/11/30,335.0
2015/12/1,330.0
2015/12/2,325.0
2015/12/3,325.0
2015/12/4,320.0
2015/12/7,315.0
2015/12/8,315.0
2015/12/9,310.0
2015/12/10,310.0
2015/12/11,305.0
2015/12/14,300.0
2015/12/15,300.0
2015/12/16,305.0
2015/12/17,305.0
2015/12/18,305.0
2015/12/21,315.0
2015/12/22,315.0
2015/12/23,315.0
2015/12/24,318.0
2015/12/25,320.0
2015/12/28,323.0
2015/12/29,328.0
2015/12/30,333.0
2015/12/31,335.0
2016/1/4,345.0
