dt,bu cfr
2016/7/28,217.5
2016/7/29,217.5
2016/8/1,225.0
2016/8/2,225.0
2016/8/3,225.0
2016/8/4,225.0
2016/8/5,225.0
2016/8/8,225.0
2016/8/9,225.0
2016/8/10,225.0
2016/8/11,225.0
2016/8/12,222.5
2016/8/15,220.0
2016/8/16,220.0
2016/8/17,220.0
2016/8/18,220.0
2016/8/19,220.0
2016/8/22,220.0
2016/8/23,220.0
2016/8/24,220.0
2016/8/25,220.0
2016/8/26,220.0
2016/8/29,220.0
2016/8/30,220.0
2016/8/31,220.0
2016/9/1,210.0
2016/9/2,210.0
2016/9/5,210.0
2016/9/6,210.0
2016/9/7,210.0
2016/9/8,207.5
2016/9/9,207.5
2016/9/12,207.5
2016/9/13,207.5
2016/9/14,207.5
2016/9/15,207.5
2016/9/16,207.5
2016/9/19,207.5
2016/9/20,207.5
2016/9/21,207.5
2016/9/22,207.5
2016/9/23,207.5
2016/9/26,207.5
2016/9/27,207.5
2016/9/28,207.5
2016/9/29,207.5
2016/9/30,207.5
2016/10/3,207.5
2016/10/4,207.5
2016/10/5,207.5
2016/10/6,207.5
2016/10/7,207.5
2016/10/10,207.5
2016/10/11,207.5
2016/10/12,207.5
2016/10/13,207.5
2016/10/14,207.5
2016/10/17,207.5
2016/10/18,207.5
2016/10/19,207.5
2016/10/20,207.5
2016/10/21,207.5
2016/10/24,207.5
2016/10/25,207.5
2016/10/26,207.5
2016/10/27,207.5
2016/10/28,207.5
2016/10/31,207.5
2016/11/1,212.5
2016/11/2,212.5
2016/11/3,212.5
2016/11/4,212.5
2016/11/7,212.5
2016/11/8,212.5
2016/11/9,212.5
2016/11/10,212.5
2016/11/11,212.5
2016/11/14,212.5
2016/11/15,212.5
2016/11/16,225.0
2016/11/17,225.0
2016/11/18,225.0
2016/11/21,225.0
2016/11/22,225.0
2016/11/23,225.0
2016/11/24,225.0
2016/11/25,225.0
2016/11/28,225.0
2016/11/29,225.0
2016/11/30,225.0
2016/12/1,230.0
2016/12/2,230.0
2016/12/5,230.0
2016/12/6,230.0
2016/12/7,230.0
2016/12/8,230.0
2016/12/9,230.0
2016/12/12,240.0
2016/12/13,240.0
2016/12/14,275.0
2016/12/15,275.0
2016/12/16,275.0
2016/12/19,275.0
2016/12/20,275.0
2016/12/21,275.0
2016/12/22,275.0
2016/12/23,285.0
2016/12/26,285.0
2016/12/27,285.0
2016/12/28,285.0
2016/12/29,285.0
2016/12/30,285.0
2017/1/2,285.0
2017/1/3,285.0
2017/1/4,285.0
2017/1/5,285.0
2017/1/6,285.0
2017/1/9,285.0
2017/1/10,285.0
2017/1/11,285.0
2017/1/12,285.0
2017/1/13,285.0
2017/1/16,285.0
2017/1/17,285.0
2017/1/18,285.0
2017/1/19,285.0
2017/1/20,285.0
2017/1/23,285.0
2017/1/24,285.0
2017/1/25,285.0
2017/1/26,285.0
2017/1/27,285.0
2017/1/30,285.0
2017/1/31,285.0
2017/2/1,315.0
2017/2/2,315.0
2017/2/3,315.0
2017/2/6,315.0
2017/2/7,315.0
2017/2/8,315.0
2017/2/9,315.0
2017/2/10,315.0
2017/2/13,315.0
2017/2/14,315.0
2017/2/15,315.0
2017/2/16,315.0
2017/2/17,315.0
2017/2/20,315.0
2017/2/21,315.0
2017/2/22,315.0
2017/2/23,320.0
2017/2/24,320.0
2017/2/27,320.0
2017/2/28,320.0
2017/3/1,327.5
2017/3/2,327.5
2017/3/3,327.5
2017/3/6,327.5
2017/3/7,327.5
2017/3/8,327.5
2017/3/9,327.5
2017/3/10,327.5
2017/3/13,327.5
2017/3/14,327.5
2017/3/15,327.5
2017/3/16,327.5
2017/3/17,327.5
2017/3/20,327.5
2017/3/21,327.5
2017/3/22,327.5
2017/3/23,327.5
2017/3/24,327.5
2017/3/27,327.5
2017/3/28,327.5
2017/3/29,327.5
2017/3/30,327.5
2017/3/31,327.5
2017/4/3,310.0
2017/4/4,310.0
2017/4/5,310.0
2017/4/6,310.0
2017/4/7,310.0
2017/4/10,310.0
2017/4/11,310.0
2017/4/12,310.0
2017/4/13,310.0
2017/4/14,310.0
2017/4/17,310.0
2017/4/18,310.0
2017/4/19,310.0
2017/4/20,310.0
2017/4/21,310.0
2017/4/24,310.0
2017/4/25,310.0
2017/4/26,310.0
2017/4/27,310.0
2017/4/28,310.0
2017/5/1,310.0
2017/5/2,310.0
2017/5/3,310.0
2017/5/4,310.0
2017/5/5,310.0
2017/5/8,310.0
2017/5/9,310.0
2017/5/10,310.0
2017/5/11,310.0
2017/5/12,310.0
2017/5/15,310.0
2017/5/16,310.0
2017/5/17,310.0
2017/5/18,310.0
2017/5/19,310.0
2017/5/22,310.0
2017/5/23,310.0
2017/5/24,310.0
2017/5/25,310.0
2017/5/26,310.0
2017/5/29,310.0
2017/5/30,310.0
2017/5/31,310.0
2017/6/1,297.5
2017/6/2,297.5
2017/6/5,297.5
2017/6/6,297.5
2017/6/7,297.5
2017/6/8,297.5
2017/6/9,297.5
2017/6/12,297.5
2017/6/13,297.5
2017/6/14,297.5
2017/6/15,297.5
2017/6/16,297.5
2017/6/19,297.5
2017/6/20,297.5
2017/6/21,297.5
2017/6/22,297.5
2017/6/23,297.5
2017/6/26,280.0
2017/6/27,280.0
2017/6/28,280.0
2017/6/29,280.0
