dt,meg cfr
2014/12/17,748.0
2014/12/18,765.0
2014/12/19,765.0
2014/12/22,797.0
2014/12/23,780.0
2014/12/24,767.0
2014/12/25,757.0
2014/12/26,764.0
2014/12/29,767.0
2014/12/30,760.0
2014/12/31,761.0
2015/1/2,761.0
2015/1/5,750.0
2015/1/6,738.0
2015/1/7,703.0
2015/1/8,701.0
2015/1/9,711.0
2015/1/12,706.0
2015/1/13,683.0
2015/1/14,689.0
2015/1/15,689.0
2015/1/16,705.0
2015/1/19,719.0
2015/1/20,720.0
2015/1/21,727.0
2015/1/22,740.0
2015/1/23,733.0
2015/1/26,727.0
2015/1/27,732.0
2015/1/28,745.0
2015/1/29,753.0
2015/1/30,747.0
2015/2/2,749.0
2015/2/3,770.0
2015/2/4,778.0
2015/2/5,776.0
2015/2/6,783.0
2015/2/9,789.0
2015/2/10,785.0
2015/2/11,790.0
2015/2/12,790.0
2015/2/13,802.0
2015/2/16,808.0
2015/2/17,808.0
2015/2/18,808.0
2015/2/19,808.0
2015/2/20,808.0
2015/2/23,808.0
2015/2/24,808.0
2015/2/25,808.0
2015/2/26,835.0
2015/2/27,835.0
2015/3/2,862.0
2015/3/3,843.0
2015/3/4,832.0
2015/3/5,826.0
2015/3/6,820.0
2015/3/9,814.0
2015/3/10,821.0
2015/3/11,822.0
2015/3/12,835.0
2015/3/13,837.0
2015/3/16,814.0
2015/3/17,807.0
2015/3/18,789.0
2015/3/19,804.0
2015/3/20,807.0
2015/3/23,824.0
2015/3/24,817.5
2015/3/25,815.0
2015/3/26,824.0
2015/3/27,828.0
2015/3/30,837.0
2015/3/31,839.0
2015/4/1,835.0
2015/4/2,847.0
2015/4/3,851.0
2015/4/6,851.0
2015/4/7,866.0
2015/4/8,873.0
2015/4/9,873.0
2015/4/10,878.0
2015/4/13,883.0
2015/4/14,902.0
2015/4/15,912.0
2015/4/16,919.0
2015/4/17,913.0
2015/4/20,937.0
2015/4/21,997.0
2015/4/22,1003.0
2015/4/23,1028.0
2015/4/24,999.0
2015/4/27,1013.0
2015/4/28,1015.0
2015/4/29,973.0
2015/4/30,977.0
2015/5/1,977.0
2015/5/4,1016.0
2015/5/5,1013.0
2015/5/6,1027.0
2015/5/7,1022.0
2015/5/8,1015.0
2015/5/11,1019.0
2015/5/12,1005.0
2015/5/13,987.0
2015/5/14,989.0
2015/5/15,987.0
2015/5/18,994.0
2015/5/19,960.0
2015/5/20,930.0
2015/5/21,945.0
2015/5/22,940.0
2015/5/25,925.0
2015/5/26,918.0
2015/5/27,917.0
2015/5/28,917.0
2015/5/29,908.0
2015/6/1,928.0
2015/6/2,930.0
2015/6/3,950.0
2015/6/4,950.0
2015/6/5,965.0
2015/6/8,973.0
2015/6/9,963.0
2015/6/10,963.0
2015/6/11,973.0
2015/6/12,953.0
2015/6/15,922.0
2015/6/16,923.0
2015/6/17,933.0
2015/6/18,934.0
2015/6/19,938.0
2015/6/22,938.0
2015/6/23,943.0
2015/6/24,952.0
2015/6/25,952.0
2015/6/26,942.0
2015/6/29,935.0
2015/6/30,923.0
2015/7/1,925.0
2015/7/2,922.0
2015/7/3,917.0
2015/7/6,883.0
2015/7/7,860.0
2015/7/8,810.0
2015/7/9,845.0
2015/7/10,877.0
2015/7/13,857.0
2015/7/14,852.0
2015/7/15,857.0
2015/7/16,865.0
2015/7/17,870.0
2015/7/20,855.0
2015/7/21,852.0
2015/7/22,847.0
2015/7/23,830.0
2015/7/24,827.0
2015/7/27,809.0
2015/7/28,815.0
2015/7/29,822.0
2015/7/30,819.0
2015/7/31,816.0
2015/8/3,800.0
2015/8/4,787.0
2015/8/5,794.0
2015/8/6,773.0
2015/8/7,772.0
2015/8/10,773.0
2015/8/11,780.0
2015/8/12,767.0
2015/8/13,769.0
2015/8/14,766.0
2015/8/17,753.0
2015/8/18,740.0
2015/8/19,731.0
2015/8/20,715.0
2015/8/21,693.0
2015/8/24,643.0
2015/8/25,644.0
2015/8/26,646.0
2015/8/27,669.0
2015/8/28,708.0
2015/8/31,694.0
2015/9/1,694.0
2015/9/2,692.0
2015/9/3,692.0
2015/9/4,692.0
2015/9/7,702.0
2015/9/8,702.0
2015/9/9,711.0
2015/9/10,717.0
2015/9/11,727.0
2015/9/14,713.0
2015/9/15,699.0
2015/9/16,703.0
2015/9/17,709.0
2015/9/18,703.0
2015/9/21,695.0
2015/9/22,696.0
2015/9/23,680.0
2015/9/24,677.0
2015/9/25,673.0
2015/9/28,660.0
2015/9/29,648.0
2015/9/30,653.0
2015/10/1,653.0
2015/10/2,653.0
2015/10/5,653.0
2015/10/6,653.0
2015/10/7,653.0
2015/10/8,675.0
2015/10/9,691.0
2015/10/12,690.0
2015/10/13,685.0
2015/10/14,670.0
2015/10/15,665.0
2015/10/16,658.0
2015/10/19,660.0
2015/10/20,654.0
2015/10/21,651.0
2015/10/22,652.0
2015/10/23,655.0
2015/10/26,649.0
2015/10/27,630.0
2015/10/28,630.0
2015/10/29,627.0
2015/10/30,625.0
2015/11/2,628.0
2015/11/3,628.0
2015/11/4,626.0
2015/11/5,627.0
2015/11/6,622.0
2015/11/9,627.0
2015/11/10,626.0
2015/11/11,617.0
2015/11/12,598.0
2015/11/13,595.0
2015/11/16,595.0
2015/11/17,589.0
2015/11/18,586.0
2015/11/19,590.0
2015/11/20,582.0
2015/11/23,558.0
2015/11/24,558.0
2015/11/25,563.0
2015/11/26,567.0
2015/11/27,566.0
2015/11/30,563.0
2015/12/1,563.0
2015/12/2,563.0
2015/12/3,556.0
2015/12/4,559.0
2015/12/7,548.0
2015/12/8,536.0
2015/12/9,542.0
2015/12/10,543.0
2015/12/11,549.0
2015/12/14,562.0
2015/12/15,568.0
2015/12/16,569.0
2015/12/17,562.0
2015/12/18,565.0
2015/12/21,568.0
2015/12/22,568.0
2015/12/23,576.0
2015/12/24,588.0
2015/12/25,601.0
2015/12/28,607.0
2015/12/29,608.0
2015/12/30,615.0
2015/12/31,613.0
2016/1/1,613.0
2016/1/5,582.0
2016/1/6,585.0
2016/1/7,579.0
2016/1/8,578.0
2016/1/11,575.0
2016/1/12,562.0
2016/1/13,550.0
2016/1/14,548.0
2016/1/15,545.0
2016/1/18,544.0
2016/1/19,562.0
2016/1/20,563.0
2016/1/21,563.0
2016/1/22,567.0
2016/1/25,571.0
2016/1/26,574.0
2016/1/27,580.0
2016/1/28,590.0
2016/1/29,590.0
2016/2/1,593.0
2016/2/2,590.0
2016/2/3,596.0
2016/2/4,596.0
2016/2/5,596.0
2016/2/16,630.0
2016/2/17,640.0
2016/2/18,640.0
2016/2/19,650.0
2016/2/22,662.0
2016/2/23,664.0
2016/2/24,655.0
2016/2/25,652.0
2016/2/26,657.0
