dt,hd rmb
2016/2/4,8600.0
2016/2/5,8600.0
2016/2/15,8550.0
2016/2/16,8550.0
2016/2/17,8550.0
2016/2/18,8550.0
2016/2/19,8550.0
2016/2/22,8420.0
2016/2/23,8460.0
2016/2/24,8480.0
2016/2/25,8500.0
2016/2/26,8550.0
2016/2/29,8600.0
2016/3/1,8630.0
2016/3/2,8630.0
2016/3/3,8630.0
2016/3/4,8800.0
2016/3/7,9000.0
2016/3/8,9000.0
2016/3/9,9050.0
2016/3/10,9050.0
2016/3/11,9030.0
2016/3/14,9030.0
2016/3/15,9000.0
2016/3/16,9000.0
2016/3/17,9100.0
2016/3/18,9200.0
2016/3/21,9250.0
2016/3/22,9200.0
2016/3/23,9300.0
2016/3/24,9300.0
2016/3/25,9350.0
2016/3/28,9350.0
2016/3/29,9400.0
2016/3/30,9400.0
2016/3/31,9450.0
2016/4/1,9500.0
2016/4/5,9500.0
2016/4/6,9400.0
2016/4/7,9400.0
2016/4/8,9300.0
2016/4/11,9200.0
2016/4/12,9200.0
2016/4/13,9180.0
2016/4/14,9150.0
2016/4/15,9070.0
2016/4/18,8980.0
2016/4/19,8860.0
2016/4/20,8770.0
2016/4/21,8600.0
2016/4/22,8700.0
2016/4/25,8730.0
2016/4/26,8780.0
2016/4/27,8800.0
2016/4/28,8680.0
2016/4/29,8670.0
2016/5/3,8610.0
2016/5/4,8570.0
2016/5/5,8520.0
2016/5/6,8520.0
2016/5/9,8480.0
2016/5/10,8460.0
2016/5/11,8520.0
2016/5/12,8580.0
2016/5/13,8580.0
2016/5/16,8570.0
2016/5/17,8570.0
2016/5/18,8580.0
2016/5/19,8550.0
2016/5/20,8550.0
2016/5/23,8500.0
2016/5/24,8480.0
2016/5/25,8500.0
2016/5/26,8620.0
2016/5/27,8600.0
2016/5/30,8600.0
2016/5/31,8680.0
2016/6/1,8620.0
2016/6/2,8620.0
2016/6/3,8680.0
2016/6/6,8680.0
2016/6/7,8670.0
2016/6/8,8650.0
2016/6/13,8680.0
2016/6/14,8700.0
2016/6/15,8720.0
2016/6/16,8750.0
2016/6/17,8750.0
2016/6/20,8800.0
2016/6/21,8830.0
2016/6/22,8850.0
2016/6/23,8920.0
2016/6/24,9000.0
2016/6/27,9030.0
2016/6/28,9000.0
2016/6/29,9050.0
2016/6/30,9050.0
2016/7/1,9050.0
2016/7/4,9250.0
2016/7/5,9300.0
2016/7/6,9300.0
2016/7/7,9300.0
2016/7/8,9300.0
2016/7/11,9300.0
2016/7/12,9250.0
2016/7/13,9230.0
2016/7/14,9200.0
2016/7/15,9200.0
2016/7/18,9080.0
2016/7/19,9000.0
2016/7/20,9100.0
2016/7/21,9100.0
2016/7/22,9100.0
2016/7/25,9170.0
2016/7/26,9100.0
2016/7/27,9100.0
2016/7/28,9200.0
2016/7/29,9200.0
2016/8/1,9300.0
2016/8/2,9300.0
2016/8/3,9300.0
2016/8/4,9400.0
2016/8/5,9350.0
2016/8/8,9350.0
2016/8/9,9400.0
2016/8/10,9300.0
2016/8/11,9300.0
2016/8/12,9300.0
2016/8/15,9300.0
2016/8/16,9300.0
2016/8/17,9300.0
2016/8/18,9300.0
2016/8/19,9300.0
2016/8/22,9300.0
2016/8/23,9300.0
2016/8/24,9300.0
2016/8/25,9300.0
2016/8/26,9300.0
2016/8/29,9300.0
2016/8/30,9300.0
2016/8/31,9300.0
2016/9/1,9300.0
2016/9/2,9300.0
2016/9/5,9300.0
2016/9/6,9300.0
2016/9/7,9300.0
2016/9/8,9300.0
2016/9/9,9300.0
2016/9/12,9300.0
2016/9/13,9300.0
2016/9/14,9300.0
2016/9/19,9300.0
2016/9/20,9300.0
2016/9/21,9300.0
2016/9/22,9300.0
2016/9/23,9300.0
2016/9/26,9300.0
2016/9/27,9300.0
2016/9/28,9300.0
2016/9/29,9100.0
2016/9/30,9150.0
2016/10/10,9260.0
2016/10/11,9280.0
2016/10/12,9300.0
2016/10/13,9280.0
2016/10/14,9180.0
2016/10/17,9200.0
2016/10/18,9180.0
2016/10/19,9280.0
2016/10/20,9350.0
2016/10/21,9300.0
2016/10/24,9350.0
2016/10/25,9450.0
2016/10/26,9450.0
2016/10/27,9500.0
2016/10/28,9550.0
2016/10/31,9700.0
2016/11/1,9700.0
2016/11/2,9730.0
2016/11/3,9750.0
2016/11/4,9720.0
2016/11/7,9720.0
2016/11/8,9720.0
2016/11/9,9900.0
2016/11/10,9880.0
2016/11/11,9950.0
2016/11/14,9900.0
2016/11/15,9850.0
2016/11/16,9800.0
2016/11/17,9700.0
2016/11/18,9670.0
2016/11/21,9680.0
2016/11/22,9700.0
2016/11/23,9650.0
2016/11/24,9730.0
2016/11/25,9700.0
2016/11/28,9600.0
2016/11/29,9670.0
2016/11/30,9670.0
2016/12/1,9700.0
2016/12/2,9750.0
2016/12/5,9850.0
2016/12/6,9900.0
2016/12/7,9950.0
2016/12/8,9930.0
2016/12/9,9950.0
2016/12/12,10200.0
2016/12/13,10350.0
2016/12/14,10350.0
2016/12/15,10300.0
2016/12/16,10300.0
2016/12/19,10200.0
2016/12/20,10150.0
2016/12/21,10100.0
2016/12/22,9930.0
2016/12/23,9850.0
2016/12/26,9800.0
2016/12/27,9900.0
2016/12/28,10000.0
2016/12/29,9950.0
2016/12/30,9900.0
2017/1/3,9800.0
2017/1/4,9880.0
2017/1/5,9800.0
2017/1/6,9780.0
2017/1/9,9750.0
2017/1/10,9750.0
2017/1/11,9730.0
2017/1/12,9750.0
2017/1/13,9750.0
2017/1/16,9800.0
2017/1/17,9800.0
2017/1/18,9800.0
2017/1/19,9780.0
2017/1/20,9800.0
2017/1/23,9800.0
2017/1/24,9800.0
2017/1/25,9800.0
2017/1/26,9800.0
2017/2/3,9800.0
2017/2/6,10000.0
2017/2/7,10050.0
2017/2/8,9950.0
2017/2/9,9950.0
2017/2/10,9950.0
2017/2/13,10000.0
2017/2/14,9950.0
2017/2/15,9950.0
2017/2/16,9950.0
2017/2/17,9950.0
2017/2/20,9950.0
2017/2/21,9950.0
2017/2/22,9950.0
2017/2/23,9950.0
2017/2/24,9900.0
2017/2/27,9800.0
2017/2/28,9800.0
2017/3/1,9800.0
2017/3/2,9800.0
2017/3/3,9800.0
2017/3/6,9800.0
2017/3/7,9800.0
2017/3/8,9800.0
2017/3/9,9800.0
2017/3/10,9900.0
2017/3/13,9950.0
2017/3/14,9950.0
2017/3/15,10000.0
2017/3/16,10050.0
2017/3/17,10100.0
2017/3/20,10050.0
2017/3/21,10100.0
2017/3/22,10200.0
2017/3/23,10250.0
2017/3/24,10250.0
2017/3/27,10300.0
2017/3/28,10300.0
2017/3/29,10350.0
2017/3/30,10250.0
2017/3/31,10250.0
2017/4/5,10350.0
2017/4/6,10350.0
2017/4/7,10350.0
2017/4/10,9900.0
2017/4/11,9950.0
2017/4/12,9900.0
2017/4/13,9900.0
2017/4/14,9900.0
2017/4/17,9900.0
2017/4/18,9850.0
2017/4/19,9800.0
2017/4/20,9800.0
2017/4/21,9800.0
2017/4/24,9700.0
2017/4/25,9800.0
2017/4/26,9700.0
2017/4/27,9700.0
2017/4/28,9800.0
2017/5/2,9750.0
2017/5/3,9800.0
2017/5/4,9650.0
2017/5/5,9650.0
2017/5/8,9700.0
2017/5/9,9600.0
2017/5/10,9500.0
2017/5/11,9450.0
2017/5/12,9450.0
2017/5/15,9550.0
2017/5/16,9550.0
2017/5/17,9500.0
2017/5/18,9550.0
2017/5/19,9550.0
2017/5/22,9600.0
2017/5/23,9600.0
2017/5/24,9500.0
2017/5/25,9500.0
2017/5/26,9500.0
2017/5/31,9500.0
2017/6/1,9500.0
2017/6/2,9450.0
2017/6/5,9400.0
2017/6/6,9400.0
2017/6/7,9400.0
2017/6/8,9300.0
2017/6/9,9300.0
2017/6/12,9350.0
2017/6/13,9300.0
2017/6/14,9250.0
2017/6/15,9200.0
2017/6/16,9150.0
2017/6/19,9150.0
2017/6/20,9150.0
2017/6/21,9050.0
2017/6/22,9000.0
2017/6/23,8850.0
2017/6/26,8950.0
2017/6/27,9000.0
2017/6/28,8950.0
2017/6/29,9050.0
2017/6/30,9050.0
2017/7/3,9050.0
2017/7/4,9050.0
2017/7/5,9050.0
2017/7/6,9000.0
2017/7/7,9000.0
2017/7/10,9000.0
2017/7/11,9000.0
2017/7/12,9100.0
2017/7/13,9100.0
2017/7/14,9100.0
2017/7/17,9150.0
2017/7/18,9150.0
2017/7/19,9150.0
2017/7/20,9350.0
2017/7/21,9450.0
2017/7/24,9450.0
2017/7/25,9200.0
2017/7/26,9450.0
2017/7/27,9400.0
2017/7/28,9400.0
2017/7/31,9400.0
2017/8/1,9400.0
