date,PP_feibiao
2018/7/20,1100
2018/7/23,1080
2018/7/24,1060
2018/7/25,1050
2018/7/26,1050
2018/7/27,1090
2018/7/30,980
2018/7/31,990
2018/8/1,990
2018/8/2,1050
2018/8/3,1200
2018/8/6,1050
2018/8/7,1100
2018/8/8,1120
2018/8/9,1070
2018/8/10,1170
2018/8/13,1130
2018/8/14,1000
2018/8/15,1000
2018/8/16,1010
2018/8/17,1010
2018/8/20,1030
2018/8/21,1010
2018/8/22,890
2018/8/23,1000
2018/8/24,930
2018/8/27,920
2018/8/28,950
2018/8/29,880
2018/8/30,950
2018/8/31,870
2018/9/3,950
2018/9/4,920
2018/9/5,920
2018/9/6,940
2018/9/7,880
2018/9/10,910
2018/9/11,910
2018/9/12,950
2018/9/13,890
2018/9/14,980
2018/9/17,720
2018/9/18,800
2018/9/19,700
2018/9/20,650
2018/9/21,650
2018/9/25,720
2018/9/26,700
2018/9/27,750
2018/9/28,670
2018/10/8,450
2018/10/9,250
2018/10/10,170
2018/10/11,150
2018/10/12,150
2018/10/15,200
2018/10/16,170
2018/10/17,250
2018/10/18,100
2018/10/19,0
2018/10/22,0
2018/10/23,120
2018/10/24,20
2018/10/25,120
2018/10/26,0
2018/10/29,0
2018/10/30,-50
2018/10/31,-80
2018/11/1,-100
2018/11/2,-20
2018/11/5,-30
2018/11/6,-50
2018/11/7,70
2018/11/8,70
2018/11/9,20
2018/11/12,90
2018/11/13,120
2018/11/14,270
2018/11/15,50
2018/11/16,40
2018/11/19,120
2018/11/20,120
2018/11/21,300
2018/11/22,150
2018/11/23,250
2018/11/26,450
2018/11/27,180
2018/11/28,400
2018/11/29,400
2018/11/30,500
2018/12/3,630
2018/12/4,600
2018/12/5,650
2018/12/6,700
2018/12/7,650
2018/12/10,600
2018/12/11,700
2018/12/12,820
2018/12/13,570
2018/12/14,530
2018/12/17,420
2018/12/18,380
2018/12/19,400
2018/12/20,380
2018/12/21,300
2018/12/24,370
2018/12/25,400
2018/12/26,280
2018/12/27,200
2018/12/28,300
2019/1/2,430
2019/1/3,550
2019/1/4,500
2019/1/7,550
2019/1/8,450
2019/1/9,350
2019/1/10,380
2019/1/11,480
2019/1/14,450
2019/1/15,550
2019/1/16,500
2019/1/17,500
2019/1/18,520
2019/1/21,430
2019/1/22,510
2019/1/23,470
2019/1/24,450
2019/1/25,500
2019/1/28,620
2019/1/29,600
2019/1/30,550
2019/1/31,500
2019/2/1,500
2019/2/11,600
2019/2/12,500
2019/2/13,500
2019/2/14,470
2019/2/15,450
2019/2/18,470
2019/2/19,380
2019/2/20,470
2019/2/21,500
2019/2/22,620
2019/2/25,700
2019/2/26,700
2019/2/27,660
2019/2/28,680
2019/3/1,630
2019/3/4,650
2019/3/5,650
2019/3/6,650
2019/3/7,630
2019/3/8,680
2019/3/11,600
2019/3/12,630
2019/3/13,600
2019/3/14,650
2019/3/15,610
2019/3/18,720
2019/3/19,720
2019/3/20,720
2019/3/21,670
2019/3/22,670
2019/3/25,710
2019/3/26,730
2019/3/27,680
2019/3/28,610
2019/3/29,750
2019/4/1,750
2019/4/2,680
2019/4/3,680
2019/4/4,680
2019/4/8,650
2019/4/9,720
2019/4/10,750
2019/4/11,750
2019/4/12,750
2019/4/15,720
2019/4/16,780
2019/4/17,780
2019/4/18,800
2019/4/19,800
2019/4/22,820
2019/4/23,750
2019/4/24,690
2019/4/25,660
2019/4/26,620
2019/4/29,580
2019/4/30,630
2019/5/6,550
2019/5/7,650
2019/5/8,570
2019/5/9,550
2019/5/10,560
2019/5/13,700
2019/5/14,730
2019/5/15,440
2019/5/16,350
2019/5/17,360
2019/5/20,520
2019/5/21,530
2019/5/22,530
2019/5/23,450
2019/5/24,500
2019/5/27,450
2019/5/28,500
2019/5/29,370
2019/5/30,580
2019/5/31,630
2019/6/3,750
2019/6/4,780
2019/6/5,660
2019/6/6,710
2019/6/10,590
2019/6/11,650
2019/6/12,670
2019/6/13,610
2019/6/14,360
2019/6/17,330
2019/6/18,330
2019/6/19,400
2019/6/20,370
2019/6/21,270
2019/6/24,345
2019/6/25,345
2019/6/26,310
2019/6/27,280
2019/6/28,380
2019/7/1,300
2019/7/2,300
2019/7/3,320
2019/7/4,250
2019/7/5,250
2019/7/8,300
2019/7/9,300
2019/7/10,120
2019/7/11,200
2019/7/12,150
2019/7/15,70
2019/7/16,120
2019/7/17,20
2019/7/18,80
2019/7/19,-30
2019/7/22,-20
2019/7/23,-20
2019/7/24,-30
2019/7/25,-50
2019/7/26,70
2019/7/29,100
2019/7/30,0
2019/7/31,-100
2019/8/1,0
2019/8/2,0
2019/8/5,100
2019/8/6,120
2019/8/7,70
2019/8/8,70
2019/8/9,-80
2019/8/12,-50
2019/8/13,-70
2019/8/14,-80
2019/8/15,-60
2019/8/16,-30
2019/8/19,20
2019/8/20,50
2019/8/21,50
2019/8/22,20
2019/8/23,120
2019/8/26,20
2019/8/27,150
2019/8/28,140
2019/8/29,100
2019/8/30,70
2019/9/2,50
2019/9/3,130
2019/9/4,100
2019/9/5,150
2019/9/6,180
2019/9/9,170
2019/9/10,160
2019/9/11,260
2019/9/12,190
2019/9/16,370
2019/9/17,410
2019/9/18,480
2019/9/19,320
2019/9/20,480
2019/9/23,300
2019/9/24,360
2019/9/25,330
2019/9/26,250
2019/9/27,250
2019/9/30,400
2019/10/8,250
2019/10/9,370
2019/10/10,310
2019/10/11,190
2019/10/14,300
2019/10/15,220
2019/10/16,250
2019/10/17,250
2019/10/18,230
2019/10/21,220
2019/10/22,240
