date_time,open,high,low,close,volume,amount,position,date,time
2020-02-05 09:47:00,4533.0,4533.0,4533.0,4533.0,1.0,45330.0,75.0,2020-02-05,09:47:00
2020-02-05 09:50:00,4537.0,4537.0,4537.0,4537.0,2.0,90710.0,76.0,2020-02-05,09:50:00
2020-02-05 09:52:00,4526.0,4526.0,4526.0,4526.0,3.0,135820.0,78.0,2020-02-05,09:52:00
2020-02-05 09:53:00,4526.0,4526.0,4526.0,4526.0,2.0,90520.0,80.0,2020-02-05,09:53:00
2020-02-05 09:54:00,4526.0,4526.0,4526.0,4526.0,1.0,45260.0,81.0,2020-02-05,09:54:00
2020-02-05 09:59:00,4525.0,4525.0,4525.0,4525.0,1.0,45250.0,82.0,2020-02-05,09:59:00
2020-02-05 10:00:00,4524.0,4527.0,4524.0,4527.0,4.0,180990.0,84.0,2020-02-05,10:00:00
2020-02-05 10:01:00,4527.0,4527.0,4527.0,4527.0,22.0,995940.0,84.0,2020-02-05,10:01:00
2020-02-05 10:03:00,4527.0,4527.0,4527.0,4527.0,1.0,45280.0,83.0,2020-02-05,10:03:00
2020-02-05 10:32:00,4556.0,4556.0,4556.0,4556.0,1.0,45560.0,82.0,2020-02-05,10:32:00
2020-02-05 10:51:00,4540.0,4540.0,4540.0,4540.0,1.0,45400.0,82.0,2020-02-05,10:51:00
2020-02-05 13:30:00,4540.0,4540.0,4540.0,4540.0,1.0,45400.0,81.0,2020-02-05,13:30:00
2020-02-05 13:35:00,4521.0,4521.0,4521.0,4521.0,3.0,135650.0,78.0,2020-02-05,13:35:00
2020-02-05 13:36:00,4521.0,4521.0,4521.0,4521.0,1.0,45210.0,77.0,2020-02-05,13:36:00
2020-02-05 13:37:00,4520.0,4520.0,4520.0,4520.0,1.0,45200.0,78.0,2020-02-05,13:37:00
2020-02-05 13:45:00,4505.0,4505.0,4505.0,4505.0,3.0,135150.0,81.0,2020-02-05,13:45:00
2020-02-05 13:52:00,4521.0,4521.0,4521.0,4521.0,1.0,45210.0,81.0,2020-02-05,13:52:00
2020-02-05 14:02:00,4525.0,4525.0,4525.0,4525.0,5.0,226130.0,86.0,2020-02-05,14:02:00
2020-02-05 14:13:00,4525.0,4525.0,4525.0,4525.0,2.0,90500.0,86.0,2020-02-05,14:13:00
2020-02-05 14:20:00,4512.0,4512.0,4512.0,4512.0,1.0,45120.0,86.0,2020-02-05,14:20:00
2020-02-05 14:33:00,4508.0,4508.0,4508.0,4508.0,1.0,45080.0,85.0,2020-02-05,14:33:00
2020-02-05 14:38:00,4524.0,4524.0,4524.0,4524.0,1.0,45240.0,86.0,2020-02-05,14:38:00
2020-02-05 15:00:00,4524.0,4524.0,4524.0,4524.0,0.0,0.0,86.0,2020-02-05,15:00:00
2020-02-06 09:07:00,4540.0,4540.0,4540.0,4540.0,1.0,45400.0,85.0,2020-02-06,09:07:00
2020-02-06 09:33:00,4530.0,4530.0,4520.0,4520.0,3.0,135800.0,88.0,2020-02-06,09:33:00
2020-02-06 09:38:00,4520.0,4520.0,4520.0,4520.0,1.0,45200.0,88.0,2020-02-06,09:38:00
2020-02-06 09:48:00,4540.0,4540.0,4540.0,4540.0,1.0,45400.0,88.0,2020-02-06,09:48:00
2020-02-06 09:50:00,4538.0,4538.0,4538.0,4538.0,1.0,45380.0,88.0,2020-02-06,09:50:00
2020-02-06 09:51:00,4538.0,4538.0,4538.0,4538.0,1.0,45380.0,87.0,2020-02-06,09:51:00
2020-02-06 10:10:00,4557.0,4557.0,4557.0,4557.0,1.0,45570.0,88.0,2020-02-06,10:10:00
2020-02-06 10:32:00,4557.0,4557.0,4557.0,4557.0,1.0,45570.0,89.0,2020-02-06,10:32:00
2020-02-06 10:33:00,4558.0,4558.0,4558.0,4558.0,1.0,45580.0,89.0,2020-02-06,10:33:00
2020-02-06 10:35:00,4559.0,4559.0,4559.0,4559.0,1.0,45590.0,90.0,2020-02-06,10:35:00
2020-02-06 10:39:00,4559.0,4561.0,4549.0,4561.0,13.0,592590.0,100.0,2020-02-06,10:39:00
2020-02-06 10:42:00,4563.0,4563.0,4563.0,4563.0,1.0,45630.0,101.0,2020-02-06,10:42:00
2020-02-06 10:43:00,4555.0,4555.0,4555.0,4555.0,1.0,45550.0,100.0,2020-02-06,10:43:00
2020-02-06 10:44:00,4563.0,4563.0,4563.0,4563.0,1.0,45630.0,101.0,2020-02-06,10:44:00
2020-02-06 10:50:00,4563.0,4563.0,4555.0,4555.0,5.0,228070.0,102.0,2020-02-06,10:50:00
2020-02-06 10:52:00,4550.0,4550.0,4548.0,4548.0,2.0,90980.0,103.0,2020-02-06,10:52:00
2020-02-06 10:53:00,4548.0,4548.0,4548.0,4548.0,6.0,273280.0,103.0,2020-02-06,10:53:00
2020-02-06 10:55:00,4548.0,4548.0,4548.0,4548.0,2.0,91080.0,103.0,2020-02-06,10:55:00
2020-02-06 10:56:00,4548.0,4548.0,4548.0,4548.0,2.0,91110.0,103.0,2020-02-06,10:56:00
2020-02-06 13:48:00,4560.0,4560.0,4560.0,4560.0,1.0,45600.0,102.0,2020-02-06,13:48:00
2020-02-06 13:49:00,4565.0,4565.0,4565.0,4565.0,1.0,45650.0,102.0,2020-02-06,13:49:00
2020-02-06 13:56:00,4565.0,4566.0,4565.0,4566.0,2.0,91310.0,103.0,2020-02-06,13:56:00
2020-02-06 14:08:00,4554.0,4554.0,4552.0,4552.0,3.0,136580.0,104.0,2020-02-06,14:08:00
2020-02-06 14:10:00,4554.0,4554.0,4554.0,4554.0,1.0,45540.0,104.0,2020-02-06,14:10:00
2020-02-06 14:11:00,4554.0,4554.0,4554.0,4554.0,2.0,91080.0,104.0,2020-02-06,14:11:00
2020-02-06 14:12:00,4554.0,4554.0,4554.0,4554.0,1.0,45540.0,104.0,2020-02-06,14:12:00
2020-02-06 14:13:00,4550.0,4550.0,4550.0,4550.0,1.0,45500.0,105.0,2020-02-06,14:13:00
2020-02-06 14:15:00,4554.0,4554.0,4554.0,4554.0,1.0,45540.0,105.0,2020-02-06,14:15:00
2020-02-06 14:16:00,4555.0,4555.0,4555.0,4555.0,1.0,45550.0,104.0,2020-02-06,14:16:00
2020-02-06 14:44:00,4550.0,4550.0,4550.0,4550.0,1.0,45500.0,105.0,2020-02-06,14:44:00
2020-02-06 14:51:00,4550.0,4550.0,4550.0,4550.0,62.0,2822240.0,163.0,2020-02-06,14:51:00
2020-02-06 14:56:00,4550.0,4550.0,4550.0,4550.0,1.0,45520.0,163.0,2020-02-06,14:56:00
2020-02-06 15:00:00,4550.0,4550.0,4550.0,4550.0,0.0,0.0,163.0,2020-02-06,15:00:00
