date,date,specific_contract,last_trade_date,HIGH,OI,DEALNUM,VOLUME,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2019-06-04,2019-06-04,EG1909.DCE,2019-09-25,4487.0,235815.0,21034.0,285018.0,4446.0,4405.0,4445.0,4428.0,2018-12-10,False,113 days 00:00:00.000000000
2019-06-05,2019-06-05,EG1909.DCE,2019-09-25,4460.0,280896.0,24469.0,413684.0,4398.0,4330.0,4343.0,4450.0,2018-12-10,False,112 days 00:00:00.000000000
2019-06-06,2019-06-06,EG1909.DCE,2019-09-25,4382.0,248324.0,26965.0,381564.0,4345.0,4314.0,4369.0,4329.0,2018-12-10,False,111 days 00:00:00.000000000
2019-06-10,2019-06-10,EG1909.DCE,2019-09-25,4420.0,250906.0,13360.0,146435.0,4391.0,4367.0,4387.0,4413.0,2018-12-10,False,107 days 00:00:00.000000000
2019-06-11,2019-06-11,EG1909.DCE,2019-09-25,4423.0,244555.0,19726.0,177272.0,4396.0,4370.0,4408.0,4388.0,2018-12-10,False,106 days 00:00:00.000000000
2019-06-12,2019-06-12,EG1909.DCE,2019-09-25,4432.0,241471.0,18038.0,200911.0,4393.0,4362.0,4384.0,4408.0,2018-12-10,False,105 days 00:00:00.000000000
2019-06-13,2019-06-13,EG1909.DCE,2019-09-25,4415.0,244186.0,20560.0,218187.0,4390.0,4361.0,4403.0,4374.0,2018-12-10,False,104 days 00:00:00.000000000
2019-06-14,2019-06-14,EG1909.DCE,2019-09-25,4423.0,245097.0,21928.0,286911.0,4373.0,4331.0,4370.0,4410.0,2018-12-10,False,103 days 00:00:00.000000000
2019-06-17,2019-06-17,EG1909.DCE,2019-09-25,4391.0,242138.0,16204.0,154128.0,4373.0,4352.0,4370.0,4360.0,2018-12-10,False,100 days 00:00:00.000000000
2019-06-18,2019-06-18,EG1909.DCE,2019-09-25,4442.0,244081.0,22669.0,287758.0,4417.0,4366.0,4417.0,4379.0,2018-12-10,False,99 days 00:00:00.000000000
2019-06-19,2019-06-19,EG1909.DCE,2019-09-25,4505.0,231221.0,22620.0,286402.0,4462.0,4417.0,4459.0,4429.0,2018-12-10,False,98 days 00:00:00.000000000
2019-06-20,2019-06-20,EG1909.DCE,2019-09-25,4492.0,227778.0,18964.0,174646.0,4474.0,4451.0,4487.0,4460.0,2018-12-10,False,97 days 00:00:00.000000000
2019-06-21,2019-06-21,EG1909.DCE,2019-09-25,4515.0,233249.0,22395.0,255067.0,4469.0,4423.0,4437.0,4500.0,2018-12-10,False,96 days 00:00:00.000000000
2019-06-24,2019-06-24,EG1909.DCE,2019-09-25,4578.0,235585.0,22789.0,298665.0,4521.0,4447.0,4567.0,4448.0,2018-12-10,False,93 days 00:00:00.000000000
2019-06-25,2019-06-25,EG1909.DCE,2019-09-25,4594.0,232906.0,22761.0,252469.0,4547.0,4513.0,4531.0,4566.0,2018-12-10,False,92 days 00:00:00.000000000
2019-06-26,2019-06-26,EG1909.DCE,2019-09-25,4555.0,231879.0,22537.0,239673.0,4520.0,4474.0,4542.0,4537.0,2018-12-10,False,91 days 00:00:00.000000000
2019-06-27,2019-06-27,EG1909.DCE,2019-09-25,4578.0,232919.0,25813.0,336294.0,4528.0,4477.0,4491.0,4535.0,2018-12-10,False,90 days 00:00:00.000000000
2019-06-28,2019-06-28,EG1909.DCE,2019-09-25,4518.0,227252.0,25211.0,314282.0,4445.0,4384.0,4408.0,4494.0,2018-12-10,False,89 days 00:00:00.000000000
2019-07-01,2019-07-01,EG1909.DCE,2019-09-25,4465.0,225905.0,22474.0,251914.0,4432.0,4380.0,4442.0,4413.0,2018-12-10,False,86 days 00:00:00.000000000
2019-07-02,2019-07-02,EG1909.DCE,2019-09-25,4525.0,222013.0,23699.0,322509.0,4458.0,4404.0,4502.0,4450.0,2018-12-10,False,85 days 00:00:00.000000000
2019-07-03,2019-07-03,EG1909.DCE,2019-09-25,4498.0,219689.0,23560.0,298776.0,4438.0,4389.0,4437.0,4490.0,2018-12-10,False,84 days 00:00:00.000000000
2019-07-04,2019-07-04,EG1909.DCE,2019-09-25,4485.0,213119.0,24400.0,319939.0,4453.0,4397.0,4477.0,4435.0,2018-12-10,False,83 days 00:00:00.000000000
2019-07-05,2019-07-05,EG1909.DCE,2019-09-25,4516.0,218892.0,24230.0,293108.0,4486.0,4455.0,4488.0,4480.0,2018-12-10,False,82 days 00:00:00.000000000
2019-07-08,2019-07-08,EG1909.DCE,2019-09-25,4507.0,236188.0,23225.0,280112.0,4465.0,4420.0,4435.0,4486.0,2018-12-10,False,79 days 00:00:00.000000000
2019-07-09,2019-07-09,EG1909.DCE,2019-09-25,4448.0,249586.0,26194.0,466671.0,4343.0,4242.0,4242.0,4435.0,2018-12-10,False,78 days 00:00:00.000000000
2019-07-10,2019-07-10,EG1909.DCE,2019-09-25,4278.0,210066.0,24064.0,381106.0,4216.0,4150.0,4265.0,4230.0,2018-12-10,False,77 days 00:00:00.000000000
2019-07-11,2019-07-11,EG1909.DCE,2019-09-25,4309.0,205852.0,25158.0,335683.0,4263.0,4213.0,4281.0,4265.0,2018-12-10,False,76 days 00:00:00.000000000
2019-07-12,2019-07-12,EG1909.DCE,2019-09-25,4293.0,203803.0,19745.0,198798.0,4264.0,4241.0,4274.0,4290.0,2018-12-10,False,75 days 00:00:00.000000000
2019-07-15,2019-07-15,EG1909.DCE,2019-09-25,4322.0,187910.0,21432.0,226144.0,4298.0,4263.0,4296.0,4272.0,2018-12-10,False,72 days 00:00:00.000000000
2019-07-16,2019-07-16,EG1909.DCE,2019-09-25,4316.0,184129.0,19442.0,196646.0,4279.0,4245.0,4278.0,4308.0,2018-12-10,False,71 days 00:00:00.000000000
2019-07-17,2019-07-17,EG1909.DCE,2019-09-25,4376.0,171415.0,21448.0,282106.0,4332.0,4280.0,4360.0,4289.0,2018-12-10,False,70 days 00:00:00.000000000
2019-07-18,2019-07-18,EG1909.DCE,2019-09-25,4393.0,163593.0,19640.0,220205.0,4356.0,4319.0,4370.0,4369.0,2018-12-10,False,69 days 00:00:00.000000000
2019-07-19,2019-07-19,EG1909.DCE,2019-09-25,4544.0,170240.0,26881.0,452364.0,4443.0,4350.0,4497.0,4370.0,2018-12-10,False,68 days 00:00:00.000000000
2019-07-22,2019-07-22,EG1909.DCE,2019-09-25,4573.0,163849.0,29226.0,484376.0,4501.0,4422.0,4486.0,4488.0,2018-12-10,False,65 days 00:00:00.000000000
2019-07-23,2019-07-23,EG1909.DCE,2019-09-25,4544.0,160601.0,26740.0,386784.0,4481.0,4393.0,4393.0,4495.0,2018-12-10,False,64 days 00:00:00.000000000
2019-07-24,2019-07-24,EG1909.DCE,2019-09-25,4449.0,154340.0,23740.0,260167.0,4419.0,4370.0,4429.0,4389.0,2018-12-10,False,63 days 00:00:00.000000000
2019-07-25,2019-07-25,EG1909.DCE,2019-09-25,4483.0,158299.0,23792.0,266223.0,4457.0,4427.0,4445.0,4433.0,2018-12-10,False,62 days 00:00:00.000000000
2019-07-26,2019-07-26,EG1909.DCE,2019-09-25,4488.0,157325.0,23731.0,282100.0,4452.0,4405.0,4464.0,4455.0,2018-12-10,False,61 days 00:00:00.000000000
2019-07-29,2019-07-29,EG1909.DCE,2019-09-25,4584.0,176057.0,27935.0,431994.0,4540.0,4471.0,4561.0,4471.0,2018-12-10,False,58 days 00:00:00.000000000
2019-07-30,2019-07-30,EG1909.DCE,2019-09-25,4711.0,163089.0,33558.0,802041.0,4612.0,4502.0,4523.0,4567.0,2018-12-10,False,57 days 00:00:00.000000000
2019-07-31,2019-07-31,EG1909.DCE,2019-09-25,4566.0,153977.0,26141.0,336677.0,4528.0,4485.0,4495.0,4529.0,2018-12-10,False,56 days 00:00:00.000000000
2019-08-01,2019-08-01,EG1909.DCE,2019-09-25,4516.0,145844.0,23346.0,278856.0,4477.0,4430.0,4445.0,4501.0,2018-12-10,False,55 days 00:00:00.000000000
2019-08-02,2019-08-02,EG1909.DCE,2019-09-25,4461.0,118773.0,21645.0,250090.0,4409.0,4340.0,4409.0,4445.0,2018-12-10,False,54 days 00:00:00.000000000
2019-08-05,2019-08-05,EG2001.DCE,2020-01-21,4405.0,157183.0,16555.0,147272.0,4326.0,4275.0,4303.0,4389.0,2019-01-29,True,169 days 00:00:00.000000000
2019-08-06,2019-08-06,EG2001.DCE,2020-01-21,4366.0,148977.0,11863.0,98957.0,4327.0,4290.0,4359.0,4303.0,2019-01-29,False,168 days 00:00:00.000000000
2019-08-07,2019-08-07,EG2001.DCE,2020-01-21,4364.0,153828.0,12357.0,80585.0,4344.0,4325.0,4353.0,4352.0,2019-01-29,False,167 days 00:00:00.000000000
2019-08-08,2019-08-08,EG2001.DCE,2020-01-21,4377.0,158325.0,13969.0,105070.0,4354.0,4318.0,4373.0,4348.0,2019-01-29,False,166 days 00:00:00.000000000
2019-08-09,2019-08-09,EG2001.DCE,2020-01-21,4440.0,167327.0,20181.0,248369.0,4382.0,4312.0,4440.0,4375.0,2019-01-29,False,165 days 00:00:00.000000000
2019-08-12,2019-08-12,EG2001.DCE,2020-01-21,4498.0,167758.0,21061.0,229998.0,4458.0,4425.0,4466.0,4442.0,2019-01-29,False,162 days 00:00:00.000000000
2019-08-13,2019-08-13,EG2001.DCE,2020-01-21,4486.0,170576.0,17636.0,149433.0,4465.0,4444.0,4457.0,4470.0,2019-01-29,False,161 days 00:00:00.000000000
2019-08-14,2019-08-14,EG2001.DCE,2020-01-21,4545.0,171591.0,24422.0,320444.0,4486.0,4431.0,4455.0,4455.0,2019-01-29,False,160 days 00:00:00.000000000
