date,HIGH,OI,specific_contract,DEALNUM,VOLUME,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2018-12-13,2473.6,22067.0,IH1812.CFE,,21749.0,2461.4,2429.6,2018-12-13,2460.2,2429.8,2018-12-21,2018-04-23,False,8 days 00:00:00.000000000
2018-12-14,2452.8,19767.0,IH1812.CFE,,17315.0,2431.6,2427.0,2018-12-14,2429.6,2449.0,2018-12-21,2018-04-23,False,7 days 00:00:00.000000000
2018-12-17,2438.8,20918.0,IH1812.CFE,,18127.0,2426.4,2417.0,2018-12-17,2430.6,2429.2,2018-12-21,2018-04-23,False,4 days 00:00:00.000000000
2018-12-18,2432.8,18046.0,IH1812.CFE,,20199.0,2401.2,2391.0,2018-12-18,2398.2,2418.6,2018-12-21,2018-04-23,False,3 days 00:00:00.000000000
2018-12-19,2405.6,14019.0,IH1812.CFE,,16595.0,2373.8,2364.4,2018-12-19,2372.6,2403.6,2018-12-21,2018-04-23,False,2 days 00:00:00.000000000
2018-12-20,2376.6,9295.0,IH1812.CFE,,14395.0,2333.6,2317.4,2018-12-20,2336.2,2371.4,2018-12-21,2018-04-23,False,1 days 00:00:00.000000000
2018-12-21,2336.2,0.0,IH1812.CFE,,7126.0,2295.05,2275.4,2018-12-21,2294.8,2336.2,2018-12-21,2018-04-23,False,0 days 00:00:00.000000000
2018-12-24,2323.0,23741.0,IH1901.CFE,,20973.0,2309.8,2291.2,2018-12-24,2312.2,2301.6,2019-01-18,2018-11-19,True,25 days 00:00:00.000000000
2018-12-25,2316.4,25237.0,IH1901.CFE,,28305.0,2305.2,2254.0,2018-12-25,2303.0,2286.4,2019-01-18,2018-11-19,False,24 days 00:00:00.000000000
2018-12-26,2307.4,23763.0,IH1901.CFE,,20919.0,2292.0,2277.6,2018-12-26,2284.6,2300.0,2019-01-18,2018-11-19,False,23 days 00:00:00.000000000
2018-12-27,2319.0,25310.0,IH1901.CFE,,24321.0,2286.2,2276.4,2018-12-27,2287.6,2313.0,2019-01-18,2018-11-19,False,22 days 00:00:00.000000000
2018-12-28,2315.8,25558.0,IH1901.CFE,,24907.0,2292.6,2284.6,2018-12-28,2286.6,2291.4,2019-01-18,2018-11-19,False,21 days 00:00:00.000000000
2019-01-02,2301.0,25760.0,IH1901.CFE,,22811.0,2262.2,2250.8,2019-01-02,2261.4,2297.8,2019-01-18,2018-11-19,False,16 days 00:00:00.000000000
2019-01-03,2295.0,24706.0,IH1901.CFE,,22436.0,2266.2,2259.0,2019-01-03,2268.0,2259.6,2019-01-18,2018-11-19,False,15 days 00:00:00.000000000
2019-01-04,2319.8,25699.0,IH1901.CFE,,28964.0,2309.8,2254.0,2019-01-04,2316.2,2263.0,2019-01-18,2018-11-19,False,14 days 00:00:00.000000000
2019-01-07,2334.0,23074.0,IH1901.CFE,,24253.0,2316.0,2307.0,2019-01-07,2313.4,2325.8,2019-01-18,2018-11-19,False,11 days 00:00:00.000000000
2019-01-08,2315.2,21469.0,IH1901.CFE,,18036.0,2308.0,2300.2,2019-01-08,2308.2,2315.2,2019-01-18,2018-11-19,False,10 days 00:00:00.000000000
2019-01-09,2362.0,23693.0,IH1901.CFE,,27276.0,2339.8,2321.2,2019-01-09,2332.0,2323.2,2019-01-18,2018-11-19,False,9 days 00:00:00.000000000
2019-01-10,2349.6,21167.0,IH1901.CFE,,21044.0,2337.0,2320.4,2019-01-10,2335.4,2328.0,2019-01-18,2018-11-19,False,8 days 00:00:00.000000000
