日期,华北电石法 SG5
2014-07-08,6000.0
2014-07-09,6000.0
2014-07-10,6000.0
2014-07-11,6000.0
2014-07-14,6000.0
2014-07-15,6000.0
2014-07-16,6000.0
2014-07-17,6000.0
2014-07-18,6000.0
2014-07-21,6000.0
2014-07-22,6000.0
2014-07-23,6000.0
2014-07-24,6000.0
2014-07-25,6000.0
2014-07-28,6000.0
2014-07-29,6000.0
2014-07-30,6000.0
2014-07-31,6000.0
2014-08-01,6000.0
2014-08-04,6000.0
2014-08-05,6000.0
2014-08-06,6000.0
2014-08-07,6000.0
2014-08-08,6000.0
2014-08-11,6000.0
2014-08-12,6000.0
2014-08-13,6000.0
2014-08-14,6000.0
2014-08-15,6000.0
2014-08-18,6000.0
2014-08-19,6000.0
2014-08-20,6000.0
2014-08-21,6000.0
2014-08-22,6000.0
2014-08-25,6000.0
2014-08-26,6000.0
2014-08-27,6000.0
2014-08-28,6000.0
2014-08-29,6000.0
2014-09-01,6000.0
2014-09-02,6000.0
2014-09-03,6000.0
2014-09-04,6000.0
2014-09-05,6000.0
2014-09-09,6000.0
2014-09-10,6000.0
2014-09-11,6000.0
2014-09-12,6000.0
2014-09-15,6000.0
2014-09-16,6000.0
2014-09-17,6000.0
2014-09-18,6000.0
2014-09-19,6000.0
2014-09-22,6000.0
2014-09-23,6000.0
2014-09-24,6000.0
2014-09-25,6000.0
2014-09-26,6000.0
2014-09-29,6000.0
2014-09-30,6000.0
2014-10-08,6000.0
2014-10-09,6000.0
2014-10-10,6000.0
2014-10-13,6000.0
2014-10-14,6000.0
2014-10-15,6000.0
2014-10-16,6000.0
2014-10-17,6000.0
2014-10-20,6000.0
2014-10-21,6000.0
2014-10-22,6000.0
2014-10-23,6000.0
2014-10-24,6000.0
2014-10-27,6000.0
2014-10-28,6000.0
2014-10-29,6000.0
2014-10-30,6000.0
2014-10-31,6000.0
2014-11-03,6000.0
2014-11-04,6000.0
2014-11-05,6000.0
2014-11-06,6000.0
2014-11-07,6000.0
2014-11-10,6000.0
2014-11-11,6000.0
2014-11-12,6000.0
2014-11-13,6000.0
2014-11-14,6000.0
2014-11-17,6000.0
2014-11-18,6000.0
2014-11-19,6000.0
2014-11-20,6000.0
2014-11-21,6000.0
2014-11-24,6000.0
2014-11-25,6000.0
2014-11-26,6000.0
2014-11-27,6000.0
2014-11-28,6000.0
2014-12-01,6000.0
2014-12-02,6000.0
2014-12-03,6000.0
2014-12-04,5950.0
2014-12-05,5950.0
2014-12-08,5930.0
2014-12-09,5930.0
2014-12-10,5900.0
2014-12-11,5900.0
2014-12-12,5900.0
2014-12-15,5850.0
2014-12-16,5850.0
2014-12-17,5850.0
2014-12-18,5850.0
2014-12-19,5800.0
2014-12-22,5780.0
2014-12-23,5750.0
2014-12-24,5750.0
2014-12-25,5700.0
2014-12-26,5700.0
2014-12-29,5700.0
2014-12-30,5700.0
2014-12-31,5650.0
2015-01-05,5650.0
2015-01-06,5600.0
2015-01-07,5500.0
2015-01-08,5500.0
2015-01-09,5500.0
2015-01-12,5450.0
2015-01-13,5400.0
2015-01-14,5400.0
2015-01-15,5200.0
2015-01-16,5180.0
2015-01-19,5130.0
2015-01-20,5050.0
2015-01-21,5000.0
2015-01-22,5000.0
2015-01-23,5000.0
2015-01-26,4950.0
2015-01-27,4900.0
2015-01-28,4900.0
2015-01-29,4850.0
2015-01-30,4800.0
2015-02-02,4800.0
2015-02-03,4800.0
2015-02-04,4800.0
2015-02-05,4800.0
2015-02-06,4800.0
2015-02-09,4800.0
2015-02-10,4800.0
2015-02-11,4800.0
2015-02-12,4800.0
2015-02-13,4800.0
2015-02-16,4800.0
2015-02-17,4800.0
2015-02-25,4800.0
2015-02-26,4800.0
2015-02-27,4800.0
2015-03-02,4850.0
2015-03-03,4850.0
2015-03-04,4900.0
2015-03-05,4900.0
2015-03-06,4900.0
2015-03-09,4900.0
2015-03-10,4900.0
2015-03-11,4900.0
2015-03-12,5050.0
2015-03-13,5050.0
2015-03-16,5050.0
2015-03-17,5050.0
2015-03-18,5050.0
