日期,LL华东
2016-11-15,10200.0
2016-11-16,10100.0
2016-11-17,10100.0
2016-11-18,10100.0
2016-11-21,9900.0
2016-11-22,9900.0
2016-11-23,9900.0
2016-11-24,9850.0
2016-11-25,9800.0
2016-11-28,9800.0
2016-11-29,9800.0
2016-11-30,9800.0
2016-12-01,9800.0
2016-12-02,9800.0
2016-12-05,9900.0
2016-12-06,9900.0
2016-12-07,10000.0
2016-12-08,10100.0
2016-12-09,10150.0
2016-12-12,10450.0
2016-12-13,10450.0
2016-12-14,10400.0
2016-12-15,10350.0
2016-12-16,10400.0
2016-12-19,10300.0
2016-12-20,10250.0
2016-12-21,10200.0
2016-12-22,10200.0
2016-12-23,10150.0
2016-12-26,10150.0
2016-12-27,10250.0
2016-12-28,10200.0
2016-12-29,10200.0
2016-12-30,10150.0
2017-01-03,10100.0
2017-01-04,10050.0
2017-01-05,10050.0
2017-01-06,10100.0
2017-01-09,10050.0
2017-01-10,10100.0
2017-01-11,10100.0
2017-01-12,10080.0
2017-01-13,10080.0
2017-01-16,10150.0
2017-01-17,10150.0
2017-01-18,10150.0
2017-01-19,10150.0
2017-01-20,10100.0
2017-01-23,10100.0
2017-01-24,10050.0
2017-01-25,10100.0
2017-01-26,10100.0
2017-02-03,10100.0
2017-02-06,10100.0
2017-02-07,10150.0
2017-02-08,10150.0
2017-02-09,10100.0
2017-02-10,10050.0
2017-02-13,10200.0
2017-02-14,10200.0
2017-02-15,10000.0
2017-02-16,9800.0
2017-02-17,9750.0
2017-02-20,9800.0
2017-02-21,9700.0
2017-02-22,9700.0
2017-02-23,9500.0
2017-02-24,9550.0
2017-02-27,9550.0
2017-02-28,9600.0
2017-03-01,9550.0
2017-03-02,9500.0
2017-03-03,9550.0
2017-03-06,9600.0
2017-03-07,9550.0
2017-03-08,9300.0
2017-03-09,9300.0
2017-03-10,9150.0
2017-03-13,9150.0
2017-03-14,9200.0
2017-03-15,9250.0
2017-03-16,9350.0
2017-03-17,9400.0
2017-03-20,9350.0
2017-03-21,9400.0
2017-03-22,9300.0
2017-03-23,9350.0
2017-03-24,9260.0
2017-03-27,9150.0
2017-03-28,9200.0
2017-03-29,9300.0
2017-03-30,9230.0
2017-03-31,9200.0
2017-04-05,9500.0
2017-04-06,9550.0
2017-04-07,9600.0
2017-04-10,9290.0
2017-04-11,9300.0
2017-04-12,9250.0
2017-04-13,9200.0
2017-04-14,9400.0
2017-04-17,9100.0
2017-04-18,9000.0
2017-04-19,8950.0
2017-04-20,8950.0
2017-04-21,8900.0
2017-04-24,8800.0
2017-04-25,8800.0
2017-04-26,8780.0
2017-04-27,8780.0
2017-04-28,8900.0
2017-05-02,8950.0
2017-05-03,8950.0
2017-05-04,8800.0
2017-05-05,8800.0
2017-05-08,8830.0
2017-05-09,8730.0
2017-05-10,8700.0
2017-05-11,8750.0
2017-05-12,8800.0
2017-05-15,8900.0
2017-05-16,9080.0
2017-05-17,9100.0
2017-05-18,9130.0
2017-05-19,9350.0
2017-05-22,9280.0
2017-05-23,9280.0
2017-05-24,9250.0
2017-05-25,9230.0
2017-05-26,9170.0
2017-05-31,9200.0
2017-06-01,9250.0
2017-06-02,9150.0
2017-06-05,9100.0
2017-06-06,9100.0
2017-06-07,9050.0
2017-06-08,9100.0
2017-06-09,9100.0
2017-06-12,9200.0
2017-06-13,9200.0
2017-06-14,9100.0
2017-06-15,8970.0
2017-06-16,9050.0
2017-06-19,9100.0
2017-06-20,9050.0
2017-06-21,9000.0
2017-06-22,8900.0
2017-06-23,8900.0
2017-06-26,8950.0
2017-06-27,9000.0
2017-06-28,9000.0
2017-06-29,9050.0
2017-06-30,9050.0
2017-07-03,9100.0
2017-07-04,9000.0
2017-07-05,8980.0
2017-07-06,9050.0
2017-07-07,9100.0
2017-07-10,9020.0
2017-07-11,9100.0
2017-07-12,9100.0
2017-07-13,9100.0
2017-07-14,9100.0
2017-07-17,9150.0
2017-07-18,9170.0
2017-07-19,9200.0
2017-07-20,9450.0
2017-07-21,9450.0
2017-07-24,9500.0
2017-07-25,9450.0
2017-07-26,9420.0
2017-07-27,9400.0
2017-07-28,9290.0
2017-07-31,9350.0
2017-08-01,9450.0
2017-08-02,9350.0
2017-08-03,9280.0
2017-08-04,9450.0
2017-08-07,9400.0
2017-08-08,9400.0
2017-08-09,9450.0
2017-08-10,9470.0
2017-08-11,9300.0
2017-08-14,9350.0
2017-08-15,9247.15
2017-08-16,9260.0
2017-08-17,9400.0
2017-08-18,9400.0
2017-08-21,9470.0
2017-08-22,9470.0
2017-08-23,9550.0
2017-08-24,9600.0
2017-08-25,9650.0
2017-08-28,9600.0
2017-08-29,9700.0
2017-08-30,9650.0
2017-08-31,9800.0
2017-09-01,9850.0
2017-09-04,10100.0
2017-09-05,10200.0
2017-09-06,10080.0
2017-09-07,9960.0
2017-09-08,10100.0
2017-09-11,9800.0
2017-09-12,9850.0
2017-09-13,9780.0
2017-09-14,9650.0
2017-09-15,9600.0
2017-09-18,9500.0
2017-09-19,9520.0
2017-09-20,9550.0
2017-09-21,9400.0
2017-09-22,9400.0
2017-09-25,9450.0
2017-09-26,9500.0
2017-09-27,9550.0
2017-09-28,9300.0
2017-09-29,9400.0
2017-10-09,9450.0
2017-10-10,9470.0
2017-10-11,9380.0
2017-10-12,9370.0
2017-10-13,9500.0
2017-10-16,9600.0
2017-10-17,9650.0
2017-10-18,9700.0
2017-10-19,9600.0
