日期,华北融指1线性（天津9085）
2015-02-09,9300.0
2015-02-10,9300.0
2015-02-11,9300.0
2015-02-12,9300.0
2015-02-13,9300.0
2015-02-16,9300.0
2015-02-17,9300.0
2015-02-25,9300.0
2015-02-26,9350.0
2015-02-27,9400.0
2015-03-02,9650.0
2015-03-03,9700.0
2015-03-04,9700.0
2015-03-05,9500.0
2015-03-06,9480.0
2015-03-09,9400.0
2015-03-10,9400.0
2015-03-11,9400.0
2015-03-12,9400.0
2015-03-13,9400.0
2015-03-16,9500.0
2015-03-17,9600.0
2015-03-18,9600.0
2015-03-19,9600.0
2015-03-20,9600.0
2015-03-23,9600.0
2015-03-24,9800.0
2015-03-25,10200.0
2015-03-26,10200.0
2015-03-27,10200.0
2015-03-30,10200.0
2015-03-31,10200.0
2015-04-01,10500.0
2015-04-02,10500.0
2015-04-03,10500.0
2015-04-07,10500.0
2015-04-08,10500.0
2015-04-09,10450.0
2015-04-10,10350.0
2015-04-13,10350.0
2015-04-14,10450.0
2015-04-15,10250.0
2015-04-16,10200.0
2015-04-17,10200.0
2015-04-20,10350.0
2015-04-21,10350.0
2015-04-22,10350.0
2015-04-23,10350.0
2015-04-24,10350.0
2015-04-27,10350.0
2015-04-28,10550.0
2015-04-29,10650.0
2015-04-30,10700.0
2015-05-04,10950.0
2015-05-05,10800.0
2015-05-06,10800.0
2015-05-07,10700.0
2015-05-08,10500.0
2015-05-11,10500.0
2015-05-12,10300.0
2015-05-13,10100.0
2015-05-14,10100.0
2015-05-15,10100.0
2015-05-18,10050.0
2015-05-19,10000.0
2015-05-20,9950.0
2015-05-21,9800.0
2015-05-22,9800.0
2015-05-25,9800.0
2015-05-26,9800.0
2015-05-27,9800.0
2015-05-28,9800.0
2015-05-29,9800.0
2015-06-01,9700.0
2015-06-02,9700.0
2015-06-03,9600.0
2015-06-04,9600.0
2015-06-05,9600.0
2015-06-08,9600.0
2015-06-09,9600.0
2015-06-10,9600.0
2015-06-11,9600.0
2015-06-12,9600.0
2015-06-15,9600.0
2015-06-16,9600.0
2015-06-17,9600.0
2015-06-18,9600.0
2015-06-19,9600.0
2015-06-23,9650.0
2015-06-24,9650.0
2015-06-25,9650.0
2015-06-26,9700.0
2015-06-29,9900.0
2015-06-30,9900.0
2015-07-01,9950.0
2015-07-02,9950.0
2015-07-03,9950.0
2015-07-06,9950.0
2015-07-07,9650.0
2015-07-08,9600.0
2015-07-09,9600.0
2015-07-10,9600.0
2015-07-13,9600.0
2015-07-14,9650.0
2015-07-15,9650.0
2015-07-16,9650.0
