,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2017-07-10,6790.0,1.578955,0.050281926970686314,1.06167,0.059090050000000005
2017-07-11,-6970.0,1.571985,0.04778216713263804,1.036155,0.09246205
2017-07-12,-780.0,1.571205,0.0477147157754717,1.03318,0.018555250000000002
2017-07-13,-1995.0,1.56921,0.04624680571752665,0.998885,0.03706290000000001
2017-07-14,-4650.0,1.56456,0.047054251674592214,1.01326,0.05778605
2017-07-17,9050.0,1.57361,0.04934519989069719,1.07073,0.036323
2017-07-18,160.0,1.5737700000000001,0.04532015478754837,0.98045,0.059731
2017-07-19,-2135.0,1.5716350000000001,0.0470573638281153,1.0164,0.05452684999999999
2017-07-20,-6810.0,1.564825,0.04955189877462336,1.067615,0.04193175
2017-07-21,1620.0,1.5664449999999999,0.048495382857361734,1.045305,0.061978000000000005
2017-07-24,-50.0,1.566395,0.0377218709201702,0.844105,0.030836099999999998
2017-07-25,430.0,1.5668250000000001,0.042257782458155826,0.945865,0.020274100000000003
2017-07-26,5685.0,1.5725099999999999,0.047724911129341,1.03377,0.0153275
2017-07-27,30.0,1.57254,0.04485780965825989,0.96921,0.021703500000000008
2017-07-28,4380.0,1.5769199999999999,0.04270016868325597,0.961925,0.03503705
2017-07-31,11105.0,1.588025,0.046738716330032584,1.024475,0.06753804999999999
2017-08-01,-5335.0,1.58269,0.04601817159393185,1.00495,0.030076200000000004
2017-08-02,-4200.0,1.57849,0.0521282048033247,1.131955,0.08984715000000001
2017-08-03,11810.0,1.5903,0.048300792303339,1.097325,0.069223
2017-08-04,-11350.0,1.5789499999999999,0.04706950821748631,1.06172,0.06706665
2017-08-07,-5825.0,1.573125,0.04403175208581646,0.943735,0.09361630000000001
2017-08-08,-2375.0,1.5707499999999999,0.043559732611809655,0.931535,0.027051150000000003
2017-08-09,7445.0,1.578195,0.04017339428904541,0.905735,0.06173415000000001
2017-08-10,-10.0,1.578185,0.04418686655873678,0.996215,0.07080710000000001
2017-08-11,5245.0,1.58343,0.040505137581074,0.870715,0.06499445000000001
2017-08-14,-1775.0,1.581655,0.04037719983182173,0.86684,0.014504000000000001
2017-08-15,-10615.0,1.57104,0.047960745748039525,1.030075,0.0700301
2017-08-16,-3655.0,1.567385,0.045767568274546463,0.97832,0.0506338
2017-08-17,-6100.0,1.561285,0.046815091415084366,0.99721,0.023883300000000003
2017-08-18,3380.0,1.564665,0.050499435981504026,1.08141,0.0495327
2017-08-21,2805.0,1.5674700000000001,0.04121552565599342,0.87553,0.01495935
2017-08-22,-1630.0,1.5658400000000001,0.046538407500127735,0.99331,0.007717500000000002
2017-08-23,-6825.0,1.559015,0.041907839244651274,0.886285,0.0063588
2017-08-24,15405.0,1.57442,0.052584443795175365,1.1358,0.046983300000000006
2017-08-25,2975.0,1.577395,0.04866029117627481,1.04875,0.04531975
2017-08-28,1080.0,1.578475,0.04932970113558974,1.06481,0.0410305
2017-08-29,-1515.0,1.5769600000000001,0.04364505123782469,0.93625,0.05233235000000001
2017-08-30,570.0,1.5775299999999999,0.04310555108302219,0.92459,0.014871500000000003
2017-08-31,3530.0,1.58106,0.04520657027563787,0.97379,0.012672100000000002
2017-09-01,3800.0,1.58486,0.04903461504486201,1.0627,0.08076390000000001
2017-09-04,-4495.0,1.580365,0.03950799340658646,0.842915,0.06279140000000001
2017-09-05,-5715.0,1.57465,0.051672308131965834,1.11284,0.0668451
2017-09-06,2895.0,1.577545,0.04820810182910788,1.036235,0.012833100000000002
2017-09-07,-1020.0,1.576525,0.038174878292447,0.809795,0.045182200000000006
2017-09-08,-1975.0,1.57455,0.04320193071036169,0.92388,0.0556829
2017-09-11,-4100.0,1.5704500000000001,0.04653016651278296,0.99629,0.05605390000000001
2017-09-12,-3160.0,1.5672899999999998,0.04825118516675281,1.03248,0.06686189999999999
2017-09-13,2835.0,1.570125,0.047455489212642296,1.016515,0.05040070000000001
2017-09-14,7420.0,1.577545,0.04182860076891626,0.89575,0.024146150000000005
2017-09-15,15900.0,1.593445,0.04427586141975406,0.962945,0.054505850000000015
2017-09-18,15305.0,1.6087500000000001,0.04348755244755245,0.95598,0.019141500000000002
2017-09-19,-1005.0,1.607745,0.0389261667739598,0.851305,0.034101900000000004
2017-09-20,-830.0,1.6069149999999999,0.04276890812519642,0.9818,0.06811785000000001
2017-09-21,4485.0,1.6114000000000002,0.041677733647759715,0.91795,0.06659905
2017-09-22,-5590.0,1.60581,0.04068563528686457,0.89172,0.05345340000000001
2017-09-25,-4460.0,1.60135,0.05014756299372405,1.10554,0.04534810000000001
